stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"120730002001",47,57,10,0.71,256,244,12,4.65,116,113,3,0.53,68,67,1,0.10,121,127,6,1.10,53,53,0,0.00,0,0,0,0.00
"120730002002",87,83,4,0.95,163,163,0,0.00,11,7,4,0.12,42,43,1,0.12,17,27,10,0.47,21,21,0,0.00,24,21,3,0.20
"120730002003",95,94,1,0.12,173,172,1,0.22,66,72,6,0.50,103,98,5,0.64,123,115,8,1.23,48,47,1,0.06,192,202,10,2.40
"120730002004",25,22,3,0.20,36,30,6,0.58,21,19,2,0.11,37,43,6,0.59,206,205,1,0.55,0,0,0,0.00,50,56,6,0.80
"120730003011",167,171,4,0.88,69,53,16,1.46,110,106,4,0.58,113,122,9,1.35,144,140,4,0.76,81,90,9,0.97,71,73,2,0.19
"120730003021",78,82,4,0.51,82,91,9,1.21,127,113,14,2.92,123,111,12,2.42,90,108,18,2.66,63,56,7,0.72,46,48,2,0.15
"120730003022",0,0,0,0.00,114,116,2,0.40,96,93,3,0.50,109,103,6,1.14,105,110,5,0.92,23,24,1,0.04,126,127,1,0.22
"120730003031",226,205,21,4.96,310,333,23,7.46,133,136,3,0.42,141,140,1,0.15,126,121,5,0.66,8,6,2,0.02,12,15,3,0.04
"120730003032",125,118,7,1.04,227,244,17,4.59,303,292,11,3.97,88,97,9,0.94,25,28,3,0.09,51,41,10,0.61,21,20,1,0.03
"120730004001",150,132,18,6.43,93,92,1,0.22,37,37,0,0.00,38,58,20,1.81,79,80,1,0.19,12,10,2,0.06,11,11,0,0.00
"120730004002",0,0,0,0.00,47,47,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730005001",370,365,5,3.02,108,108,0,0.00,47,42,5,0.38,0,0,0,0.00,87,97,10,1.42,0,0,0,0.00,0,0,0,0.00
"120730005002",259,263,4,2.50,125,121,4,1.21,18,14,4,0.17,0,0,0,0.00,12,16,4,0.12,0,0,0,0.00,0,0,0,0.00
"120730006001",44,30,14,2.08,107,105,2,0.72,25,25,0,0.00,46,55,9,1.40,27,32,5,0.46,35,31,4,0.47,12,18,6,0.24
"120730006002",7,7,0,0.00,56,56,0,0.00,39,45,6,0.70,28,25,3,0.25,78,80,2,0.47,7,4,3,0.06,120,118,2,0.72
"120730006003",464,474,10,5.46,175,177,2,0.41,29,28,1,0.03,72,80,8,0.68,0,0,0,0.00,52,51,1,0.06,58,40,18,1.23
"120730007001",36,40,4,0.29,128,125,3,0.78,148,159,11,3.30,95,74,21,4.04,75,86,11,1.67,4,4,0,0.00,8,6,2,0.03
"120730007002",64,66,2,0.20,216,222,6,2.06,77,69,8,0.98,139,144,5,1.10,35,44,9,0.50,58,58,0,0.00,41,27,14,0.91
"120730008001",58,54,4,0.49,194,204,10,4.08,77,79,2,0.32,47,42,5,0.49,63,60,3,0.40,6,3,3,0.04,31,34,3,0.20
"120730008002",60,57,3,0.48,83,85,2,0.44,54,60,6,0.86,63,63,0,0.00,51,48,3,0.41,26,24,2,0.14,40,40,0,0.00
"120730008003",20,23,3,0.09,132,136,4,0.83,82,80,2,0.26,83,95,12,1.56,176,173,3,0.83,65,59,6,0.61,79,71,8,0.99
"120730009011",89,87,2,0.33,111,110,1,0.20,14,12,2,0.05,80,77,3,0.44,160,187,27,7.90,56,45,11,1.13,37,29,8,0.54
"120730009012",119,120,1,0.14,330,314,16,6.05,139,154,15,2.39,86,87,1,0.10,121,114,7,0.97,29,36,7,0.23,49,48,1,0.06
"120730009013",108,119,11,1.22,338,335,3,1.04,162,160,2,0.33,122,115,7,0.88,182,191,9,1.68,62,54,8,0.51,0,0,0,0.00
"120730009014",17,18,1,0.06,25,28,3,0.25,37,35,2,0.25,67,62,5,1.13,40,46,6,0.81,28,27,1,0.09,82,80,2,0.55
"120730009015",99,79,20,1.81,247,250,3,0.68,128,130,2,0.23,153,151,2,0.28,184,193,9,1.52,117,115,2,0.21,163,173,10,1.49
"120730009031",25,29,4,0.34,62,53,9,1.90,74,72,2,0.50,20,18,2,0.14,47,56,9,1.44,33,33,0,0.00,33,33,0,0.00
"120730009032",355,369,14,5.81,190,192,2,0.44,117,96,21,2.87,43,35,8,0.40,75,89,14,1.23,0,0,0,0.00,76,75,1,0.09
"120730009041",151,151,0,0.00,325,334,9,2.87,207,212,5,1.02,149,144,5,0.73,0,0,0,0.00,56,49,7,0.39,130,128,2,0.26
"120730009042",149,122,27,4.85,164,183,19,3.76,174,165,9,1.89,122,121,1,0.15,130,142,12,1.88,61,69,8,0.59,29,27,2,0.07
"120730009051",144,154,10,1.73,328,331,3,1.18,153,157,4,0.73,93,88,5,0.56,84,75,9,0.91,16,16,0,0.00,16,13,3,0.06
"120730009052",65,72,7,0.86,132,127,5,1.24,71,59,12,1.60,109,125,16,3.28,125,129,4,0.94,0,0,0,0.00,30,20,10,0.56
"120730010011",177,161,16,5.65,168,185,17,5.70,46,54,8,0.73,38,46,8,0.61,28,25,3,0.17,44,30,14,1.23,0,0,0,0.00
"120730010012",0,0,0,0.00,156,147,9,2.96,110,117,7,1.62,69,70,1,0.15,87,98,11,2.01,36,29,7,0.53,17,14,3,0.11
"120730010021",103,110,7,0.99,71,76,5,0.49,189,186,3,0.78,153,130,23,4.85,90,94,4,0.50,96,111,15,1.99,23,18,5,0.16
"120730011011",48,46,2,0.30,42,38,4,0.52,111,120,9,3.07,12,13,1,0.04,89,85,4,1.10,4,4,0,0.00,19,19,0,0.00
"120730011012",79,80,1,0.27,36,40,4,0.49,5,9,4,0.07,34,30,4,0.46,73,64,9,2.23,8,6,2,0.05,59,65,6,1.20
"120730011013",54,50,4,1.31,6,4,2,0.07,9,7,2,0.11,44,55,11,2.93,0,0,0,0.00,25,24,1,0.15,27,25,2,0.33
"120730011021",52,51,1,0.08,34,42,8,0.43,42,36,6,0.40,82,93,11,1.43,140,139,1,0.22,114,98,16,2.89,167,172,5,1.32
"120730011022",0,0,0,0.00,93,100,7,1.86,34,34,0,0.00,118,121,3,1.01,46,42,4,0.53,46,42,4,0.53,13,11,2,0.07
"120730012001",143,146,3,0.77,143,161,18,4.63,71,64,7,0.89,137,124,13,3.20,29,29,0,0.00,30,31,1,0.05,3,1,2,0.01
