stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"120730002001",45,51,6,0.41,11,13,2,0.03,24,38,14,0.51,168,158,10,2.54,122,119,3,0.55,160,157,3,0.73,131,125,6,1.19
"120730002002",34,35,1,0.09,0,0,0,0.00,1,11,10,0.03,107,100,7,2.05,39,33,6,0.64,159,161,2,0.87,25,25,0,0.00
"120730002003",191,197,6,1.43,130,125,5,0.81,114,130,16,2.28,129,131,2,0.32,100,103,3,0.38,120,105,15,2.25,16,9,7,0.14
"120730002004",59,65,6,0.94,42,28,14,1.57,0,7,7,0.00,62,51,11,1.82,85,93,8,1.81,97,104,7,1.81,30,27,3,0.24
"120730003011",87,86,1,0.12,23,44,21,0.64,165,145,20,4.37,54,44,10,0.72,93,117,24,2.96,141,139,2,0.37,192,180,12,3.05
"120730003021",73,89,16,1.92,8,9,1,0.01,61,71,10,1.00,44,44,0,0.00,113,108,5,0.93,222,228,6,2.19,88,60,28,4.05
"120730003022",9,11,2,0.03,22,19,3,0.12,47,45,2,0.16,65,73,8,0.91,69,83,14,1.69,271,263,8,3.78,90,79,11,1.73
"120730003031",186,178,8,1.56,77,74,3,0.24,46,55,9,0.43,125,142,17,2.22,224,223,1,0.23,239,236,3,0.75,59,48,11,0.68
"120730003032",128,138,10,1.52,26,27,1,0.03,108,119,11,1.41,123,125,2,0.29,129,140,11,1.69,264,236,28,8.80,62,55,7,0.52
"120730004001",93,86,7,1.55,25,14,11,0.65,56,50,6,0.80,56,61,5,0.67,45,49,4,0.43,103,115,12,2.94,42,45,3,0.30
"120730004002",0,0,0,0.00,0,0,0,0.00,0,14,14,0.00,47,33,14,14.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730005001",324,340,16,8.47,72,60,12,1.41,40,45,5,0.33,104,104,0,0.00,40,27,13,0.85,0,2,2,0.00,32,34,2,0.10
"120730005002",229,223,6,3.32,82,90,8,1.58,52,57,5,0.63,16,17,1,0.04,24,16,8,0.46,0,0,0,0.00,11,11,0,0.00
"120730006001",129,135,6,2.61,39,43,4,0.53,47,52,5,0.79,51,40,11,1.90,0,3,3,0.00,30,23,7,0.71,0,0,0,0.00
"120730006002",78,93,15,3.49,36,42,6,0.64,81,72,9,2.18,10,19,9,0.27,52,38,14,2.17,65,62,3,0.58,13,9,4,0.16
"120730006003",448,471,23,12.12,161,158,3,0.57,119,108,11,1.54,48,46,2,0.11,30,30,0,0.00,44,37,7,0.36,0,0,0,0.00
"120730007001",38,38,0,0.00,54,56,2,0.22,93,90,3,0.56,90,85,5,0.91,67,79,12,1.63,100,106,6,1.21,52,40,12,1.26
"120730007002",97,107,10,1.54,38,46,8,0.48,135,145,10,2.14,128,108,20,4.06,89,81,8,1.13,134,134,0,0.00,9,9,0,0.00
"120730008001",45,37,8,0.76,0,8,8,0.00,105,106,1,0.22,88,75,13,2.40,69,67,2,0.29,97,108,11,2.24,72,75,3,0.45
"120730008002",18,18,0,0.00,0,1,1,0.00,26,26,0,0.00,62,58,4,0.66,113,104,9,2.70,103,112,9,2.46,55,58,3,0.44
"120730008003",0,1,1,0.00,22,14,8,0.28,42,45,3,0.20,35,36,1,0.05,90,103,13,1.84,185,197,12,3.49,263,241,22,9.08
"120730009011",6,10,4,0.04,0,5,5,0.00,83,81,2,0.30,53,49,4,0.39,88,89,1,0.16,193,191,2,0.71,124,122,2,0.45
"120730009012",46,42,4,0.21,66,69,3,0.23,151,144,7,1.21,46,75,29,1.53,231,217,14,3.70,211,194,17,4.11,122,132,10,1.40
"120730009013",47,59,12,0.58,0,6,6,0.00,129,141,12,1.59,148,150,2,0.30,182,168,14,2.62,365,353,12,4.50,103,97,6,0.63
"120730009014",16,18,2,0.11,13,9,4,0.18,28,31,3,0.28,17,18,1,0.06,14,23,9,0.43,180,170,10,6.08,28,27,1,0.09
"120730009015",79,76,3,0.22,54,49,5,0.25,126,146,20,2.31,86,94,8,0.63,228,216,12,2.51,308,294,14,3.95,210,216,6,1.15
"120730009031",47,50,3,0.48,0,6,6,0.00,79,65,14,3.76,25,19,6,0.51,0,3,3,0.00,110,120,10,3.74,33,31,2,0.22
