serialno,rt,division,puma,region,st,adjhsg,adjinc,wgtp,np,type,acr,ags,bds,bld,bus,conp,elep,fs,fulp,gasp,hfl,insp,mhp,mrgi,mrgp,mrgt,mrgx,rms,rntm,rntp,smp,tel,ten,vacs,val,veh,watp,ybl,fes,fincp,fparc,grntp,grpip,hhl,hht,hincp,hugcl,hupac,hupaoc,huparc,kit,lngi,mv,noc,npf,npp,nr,nrc,ocpip,partner,plm,psf,r18,r60,r65,resmode,smocp,smx,srnt,sval,taxp,wif,wkexrel,workstat,facrp,fagsp,fbdsp,fbldp,fbusp,fconp,felep,ffsp,ffulp,fgasp,fhflp,finsp,fkitp,fmhp,fmrgip,fmrgp,fmrgtp,fmrgxp,fmvp,fplmp,frmsp,frntmp,frntp,fsmp,fsmxhp,fsmxsp,ftaxp,ftelp,ftenp,fvacsp,fvalp,fvehp,fwatp,fyblp,wgtp1,wgtp2,wgtp3,wgtp4,wgtp5,wgtp6,wgtp7,wgtp8,wgtp9,wgtp10,wgtp11,wgtp12,wgtp13,wgtp14,wgtp15,wgtp16,wgtp17,wgtp18,wgtp19,wgtp20,wgtp21,wgtp22,wgtp23,wgtp24,wgtp25,wgtp26,wgtp27,wgtp28,wgtp29,wgtp30,wgtp31,wgtp32,wgtp33,wgtp34,wgtp35,wgtp36,wgtp37,wgtp38,wgtp39,wgtp40,wgtp41,wgtp42,wgtp43,wgtp44,wgtp45,wgtp46,wgtp47,wgtp48,wgtp49,wgtp50,wgtp51,wgtp52,wgtp53,wgtp54,wgtp55,wgtp56,wgtp57,wgtp58,wgtp59,wgtp60,wgtp61,wgtp62,wgtp63,wgtp64,wgtp65,wgtp66,wgtp67,wgtp68,wgtp69,wgtp70,wgtp71,wgtp72,wgtp73,wgtp74,wgtp75,wgtp76,wgtp77,wgtp78,wgtp79,wgtp80,hinc_adj
2009001319367,H,5,702,3,12,1048571,1048026,40,1,1,,,2,04,,0000,150,2,0002,003,3,,,,,,,5,2,00480,,1,3,,,1,0001,5,,,,0630,017,1,6,43700,0,4,4,4,1,1,4,00,,0,0,00,,0,1,0,0,0,0,2,,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,60,38,40,35,35,37,10,15,12,37,68,43,12,40,35,13,40,70,85,65,64,40,33,45,41,45,11,10,14,38,62,35,12,42,37,14,32,63,85,80,62,42,39,34,35,48,13,12,10,41,56,42,10,41,42,11,35,61,68,61,61,44,35,41,41,45,14,12,13,44,62,39,10,41,41,10,40,63,70,45798.74375382468000
2007000263539,H,5,702,3,12,1084729,1102938,11,1,1,2,1,3,01,2,0000,100,2,0002,003,3,00990,00000,2,00260,2,1,5,,,,1,1,,12,1,0002,3,,,,,,1,6,26200,0,4,4,4,1,1,4,00,,0,0,00,023,0,1,0,0,0,0,1,00504,3,0,0,16,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,20,8,3,4,15,14,16,11,10,13,10,5,17,14,27,11,3,22,11,4,17,9,4,4,14,9,9,10,9,34,15,2,19,11,21,13,3,4,9,35,3,8,24,21,11,13,12,10,10,4,13,21,4,13,2,15,28,3,9,15,3,8,14,18,11,10,11,19,12,3,14,23,3,9,3,13,13,21,28896.98625633176400
2010000466846,H,5,701,3,12,1031543,1039407,42,1,1,,,1,07,,0000,150,2,0002,003,3,,,,,,,3,2,00930,,1,3,,,1,0120,4,,,,1090,015,1,4,87020,0,4,4,4,1,1,3,00,,0,0,00,,0,1,0,0,0,0,2,,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,44,39,73,47,44,15,12,87,70,12,42,69,11,13,49,47,69,38,36,42,34,50,68,42,38,12,13,52,69,12,43,65,11,12,41,39,67,48,44,43,49,49,73,40,42,12,12,64,67,13,41,67,11,14,41,41,71,37,45,35,42,43,62,37,47,13,14,71,73,15,41,61,13,13,42,44,69,41,48,41,90449.22082953813920
2011000245155,H,5,701,3,12,1000000,1018237,18,1,1,1,,3,02,2,0000,160,2,0002,002,3,,,,,,,5,2,00750,,1,3,,,1,0002,5,,,,0910,061,1,6,18000,0,4,4,4,1,1,2,00,,0,0,00,,0,1,0,0,0,0,1,,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,20,17,17,17,18,33,24,6,29,20,38,18,5,22,5,35,23,26,6,5,24,16,19,19,22,31,15,6,25,15,27,24,6,15,6,29,17,26,7,5,15,19,20,21,20,39,15,5,34,18,32,18,5,18,6,27,16,31,5,5,20,19,18,20,21,26,19,7,27,25,33,18,5,18,5,39,20,34,18328.2660000
2008001260922,H,5,702,3,12,1044592,1063801,7,1,1,1,,3,02,2,0000,110,2,0002,060,1,,,,,,,5,2,00600,,1,3,,,1,0002,6,,,,0770,026,1,4,35000,0,4,4,4,1,1,4,00,,0,0,00,,0,1,0,0,0,0,1,,,1,0,,,,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,7,7,6,8,2,6,2,9,2,3,2,3,7,7,2,3,8,11,7,6,11,10,10,10,9,12,6,14,7,8,7,4,9,12,7,14,10,6,14,9,8,8,8,6,10,8,18,7,13,12,12,10,10,5,8,15,6,3,4,8,2,2,3,2,8,1,10,3,7,9,7,6,1,2,8,8,2,6,37233.03614938845000
2009000068358,H,5,702,3,12,1048571,1048026,31,4,1,1,,4,02,2,0000,300,2,0002,100,1,00430,,1,01400,1,1,7,,,,1,1,,18,2,0560,2,2,000120000,2,,,4,1,120000,0,2,2,2,1,1,4,02,04,0,0,02,018,0,1,0,1,0,0,2,01847,3,0,1,44,1,8,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,46,10,25,72,9,9,37,26,51,48,28,33,36,62,26,31,14,11,60,31,15,53,26,9,56,47,31,35,10,42,39,25,28,14,40,23,38,36,9,32,44,10,36,71,8,11,26,32,50,26,26,27,28,49,23,44,14,12,60,34,13,46,36,7,52,59,37,49,10,24,51,30,31,9,42,22,50,55,6,23,125763.14074276800000
2007000603723,H,5,701,3,12,1084729,1102938,18,5,1,2,1,5,02,2,0000,400,2,0002,003,3,01600,,,,,3,9,,,,1,2,,21,3,0100,5,1,000135800,2,,,2,1,135800,1,2,2,2,1,1,4,02,05,0,0,02,008,0,1,0,1,1,1,1,00916,,0,1,57,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,45,5,20,5,18,39,16,26,6,24,18,25,19,17,22,16,18,5,27,16,6,34,16,28,17,6,17,7,24,17,7,6,13,22,19,21,16,39,5,22,25,5,20,9,18,21,23,26,5,14,21,22,18,21,24,17,19,6,25,24,11,22,15,33,13,4,20,6,31,17,7,5,26,15,16,19,18,35,4,149779.03563396387600
2008000364225,H,5,702,3,12,1044592,1063801,23,1,1,1,,3,02,2,0000,040,2,0002,010,1,00480,,1,00470,1,1,5,,,,1,1,,14,2,0030,6,,,,,,1,4,11000,0,4,4,4,1,1,7,00,,0,0,00,057,0,1,0,0,0,0,1,00523,3,0,1,11,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,43,23,25,22,20,26,8,21,44,6,21,8,18,37,20,31,8,8,21,40,44,24,20,24,17,24,6,23,53,9,19,5,22,44,24,44,6,8,25,37,31,23,21,32,18,26,7,27,46,8,25,8,23,35,14,39,5,6,18,31,42,26,20,22,22,28,11,22,40,7,19,8,17,36,25,30,7,5,11701.81136123637000
2009001136337,H,5,702,3,12,1048571,1048026,18,2,1,1,,3,02,2,0000,270,2,0002,003,3,01300,,,,,3,6,,,,1,2,,14,1,0380,3,4,000044470,4,,,2,1,44470,0,4,4,4,1,1,5,00,02,0,0,00,013,0,1,0,0,2,1,1,00468,,0,1,15,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,30,6,32,18,5,5,5,19,29,5,19,18,15,16,28,29,20,20,31,6,21,22,16,5,20,18,18,31,21,19,6,31,5,5,19,18,32,22,22,20,26,6,31,19,6,6,5,16,25,5,17,18,18,20,32,32,16,17,34,6,22,19,16,6,19,17,19,35,22,19,6,28,5,5,18,18,26,27,19,46605.72390692410800
2007000898061,H,5,702,3,12,1084729,1102938,47,2,1,,,2,04,,0000,220,2,0002,003,3,,,,,,,5,2,00750,,1,3,,,2,0240,2,,,,0990,045,1,5,26300,0,4,4,4,1,1,3,00,,0,1,00,,0,1,0,0,0,0,2,,,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,73,15,42,37,54,66,14,57,47,71,45,61,56,16,13,43,42,47,17,40,90,23,42,40,60,81,14,60,56,83,57,79,81,13,21,48,45,47,20,53,62,14,64,56,42,91,23,42,47,64,47,95,77,19,15,39,52,45,14,44,52,15,54,65,43,61,18,41,41,63,36,64,54,16,15,53,69,46,15,29007.28009700478600
2008000701529,H,5,701,3,12,1044592,1063801,31,2,1,,,2,08,,0000,150,2,0002,003,3,,,,,,,4,2,00630,,1,3,,,1,0001,3,7,000020000,2,0780,047,1,3,20000,0,2,2,2,1,1,4,01,02,0,0,01,,0,1,0,1,0,0,2,,,1,0,,1,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,27,10,40,36,8,10,27,39,29,35,31,47,27,12,52,32,60,12,26,55,35,49,10,29,60,53,35,33,30,28,34,11,31,43,10,24,8,50,34,12,31,10,50,34,9,11,35,27,26,28,26,59,32,10,43,28,53,11,30,43,34,48,11,32,39,56,32,32,36,35,32,7,33,52,8,33,8,60,21276.02065679340000
2010000811007,H,5,702,3,12,1031543,1039407,15,2,1,2,1,4,02,2,0000,450,2,0002,040,3,02000,,2,01800,2,1,9,,,00450,1,1,,20,3,0002,3,1,000351750,4,,,2,1,351750,0,4,4,4,1,1,5,00,02,0,0,00,011,0,1,0,0,0,0,1,03249,2,0,1,53,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,25,13,4,14,22,24,15,13,23,4,15,4,5,13,3,26,15,16,17,14,5,16,25,15,3,5,16,15,5,25,13,24,25,15,25,4,14,13,15,14,26,14,3,16,25,22,14,15,23,4,14,4,5,14,5,24,15,14,14,16,5,15,25,15,5,5,15,14,5,28,15,27,23,17,24,3,14,16,365611.50800724018000
2010000789702,H,5,701,3,12,1031543,1039407,13,1,1,,,2,09,,0000,130,2,0002,030,1,,,,,,,3,2,01200,,1,3,,,1,0420,4,,,,1395,020,1,6,83000,0,4,4,4,1,1,1,00,,0,0,00,,0,1,0,0,0,0,1,,,1,0,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,15,3,14,12,22,21,4,4,22,13,4,21,25,13,12,3,13,14,13,12,14,4,11,13,24,24,3,4,25,12,3,20,19,11,13,4,12,13,12,12,13,4,16,13,25,21,4,4,19,12,4,23,24,11,13,4,13,13,12,12,14,4,12,12,23,20,5,4,21,15,4,20,22,13,12,4,13,13,86270.80359516968000
2010000776088,H,5,701,3,12,1031543,1039407,23,1,1,1,,3,02,2,0000,230,1,0002,010,3,03000,,1,01500,1,1,7,,,,1,1,,22,2,0600,4,,,,,,1,4,38800,0,4,4,4,1,1,5,00,,0,0,00,055,0,1,0,0,1,1,1,01790,3,0,1,49,,,,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,11,6,9,8,34,32,30,7,59,23,25,51,23,24,50,35,33,24,36,26,8,5,5,6,28,22,16,7,37,15,19,38,20,18,41,34,27,25,29,18,30,43,39,33,9,17,18,39,5,22,25,5,22,24,6,18,19,27,7,22,33,53,49,52,9,22,25,37,10,38,32,8,25,38,7,17,25,22,15,29,40329.00216256124800
