stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5
"120730002001",579,573,6,5.26,55,62,7,0.58,0,0,0,0.00,9,9,0,0.00,18,17,1,0.03
"120730002002",365,365,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730002003",645,634,11,8.87,138,145,7,1.21,0,0,0,0.00,17,21,4,0.09,0,0,0,0.00
"120730002004",362,363,1,0.97,13,12,1,0.03,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730003011",471,496,25,15.60,270,248,22,7.87,14,11,3,0.06,0,0,0,0.00,0,0,0,0.00
"120730003021",359,360,1,0.59,250,249,1,0.41,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730003022",508,506,2,1.77,41,38,3,0.21,24,29,5,0.21,0,0,0,0.00,0,0,0,0.00
"120730003031",402,420,18,7.57,531,514,17,9.44,0,0,0,0.00,13,10,3,0.04,10,12,2,0.02
"120730003032",303,301,2,0.72,437,446,9,4.68,100,93,7,0.83,0,0,0,0.00,0,0,0,0.00
"120730004001",107,120,13,3.31,313,300,13,9.69,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730004002",0,0,0,0.00,47,47,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730005001",532,534,2,1.74,62,60,2,0.20,0,0,0,0.00,18,18,0,0.00,0,0,0,0.00
"120730005002",352,350,2,1.70,26,32,6,0.38,0,0,0,0.00,0,0,0,0.00,36,32,4,0.35
"120730006001",39,34,5,0.66,257,262,5,4.34,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730006002",55,51,4,0.66,270,274,4,3.22,0,0,0,0.00,0,0,0,0.00,10,10,0,0.00
"120730006003",474,486,12,6.69,266,252,14,4.38,87,92,5,0.51,13,8,5,0.08,10,12,2,0.02
"120730007001",348,341,7,4.93,123,136,13,3.24,0,0,0,0.00,23,17,6,0.28,0,0,0,0.00
"120730007002",477,481,4,3.03,143,144,1,0.23,0,0,0,0.00,3,1,2,0.01,7,4,3,0.03
"120730008001",375,384,9,7.09,101,92,9,1.91,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730008002",360,365,5,4.77,17,12,5,0.23,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730008003",580,584,4,3.64,38,35,3,0.18,0,0,0,0.00,0,0,0,0.00,19,18,1,0.03
"120730009011",406,422,16,11.88,122,111,11,2.45,8,3,5,0.07,0,0,0,0.00,11,11,0,0.00
"120730009012",508,499,9,5.24,292,297,5,1.67,73,77,4,0.33,0,0,0,0.00,0,0,0,0.00
"120730009013",553,550,3,1.70,320,333,13,4.27,53,44,9,0.49,25,24,1,0.03,23,23,0,0.00
"120730009014",242,223,19,15.53,37,55,18,2.25,0,0,0,0.00,0,0,0,0.00,17,18,1,0.06
"120730009015",838,846,8,6.14,206,203,3,0.57,33,30,3,0.09,0,0,0,0.00,14,12,2,0.03
"120730009031",240,245,5,4.08,44,42,2,0.30,0,0,0,0.00,0,0,0,0.00,10,7,3,0.10
"120730009032",618,601,17,12.27,205,213,8,1.92,22,25,3,0.08,0,0,0,0.00,11,17,6,0.08
"120730009041",671,692,21,13.84,229,228,1,0.22,52,46,6,0.31,0,0,0,0.00,66,52,14,0.91
"120730009042",617,607,10,7.44,177,197,20,4.27,0,0,0,0.00,35,25,10,0.42,0,0,0,0.00
"120730009051",522,490,32,20.03,225,244,19,5.13,46,44,2,0.11,25,34,9,0.27,16,22,6,0.12
"120730009052",433,432,1,0.81,99,100,1,0.19,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730010011",66,67,1,0.13,371,381,10,7.41,0,0,0,0.00,37,35,2,0.15,27,18,9,0.49
"120730010012",126,119,7,1.86,296,310,14,8.72,41,42,1,0.09,0,0,0,0.00,12,4,8,0.20
"120730010021",71,75,4,0.39,654,650,4,3.61,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730011011",13,10,3,0.12,312,315,3,2.88,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730011012",0,0,0,0.00,294,294,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730011013",0,0,0,0.00,165,165,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730011021",0,0,0,0.00,631,631,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730011022",6,2,4,0.07,344,348,4,3.93,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730012001",48,40,8,0.69,499,507,8,7.18,9,9,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730014011",0,0,0,0.00,481,481,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730014012",315,329,14,5.43,460,441,19,10.76,0,0,0,0.00,17,19,2,0.04,20,23,3,0.07
"120730014021",53,60,7,1.04,282,278,4,3.17,8,6,2,0.04,0,0,0,0.00,13,12,1,0.04
"120730014022",569,565,4,2.85,153,152,1,0.19,0,0,0,0.00,56,59,3,0.21,22,24,2,0.06
"120730014023",287,306,19,7.47,443,424,19,11.53,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730015001",406,395,11,5.76,346,361,15,6.70,0,0,0,0.00,23,19,4,0.12,0,0,0,0.00
"120730015002",288,289,1,0.91,30,29,1,0.09,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730015003",359,367,8,5.65,109,98,11,2.36,6,5,1,0.01,34,38,4,0.27,0,0,0,0.00
"120730015004",285,283,2,1.96,0,0,0,0.00,6,8,2,0.04,0,0,0,0.00,0,0,0,0.00
"120730016011",84,88,4,0.64,439,435,4,3.36,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730016012",586,585,1,0.65,248,240,8,2.21,64,73,9,0.64,0,0,0,0.00,0,0,0,0.00
"120730016013",557,569,12,9.39,71,60,11,1.10,35,42,7,0.34,0,0,0,0.00,49,41,8,0.55
"120730016021",640,646,6,5.54,47,44,3,0.20,0,0,0,0.00,6,3,3,0.03,0,0,0,0.00
"120730016022",308,318,10,8.46,23,21,2,0.13,33,25,8,0.73,0,0,0,0.00,0,0,0,0.00
"120730016023",274,277,3,2.91,8,5,3,0.09,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730017001",440,434,6,5.51,12,15,3,0.08,0,0,0,0.00,0,0,0,0.00,27,30,3,0.17
"120730017002",863,864,1,0.79,192,195,3,0.53,15,15,0,0.00,0,0,0,0.00,18,14,4,0.07
"120730017003",617,617,0,0.00,15,17,2,0.05,19,17,2,0.06,0,0,0,0.00,0,0,0,0.00
"120730017004",508,506,2,1.85,0,0,0,0.00,40,42,2,0.15,0,0,0,0.00,0,0,0,0.00
"120730017005",260,260,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730017006",278,281,3,2.84,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,16,13,3,0.16
"120730018011",53,51,2,0.43,187,185,2,1.51,7,11,4,0.11,0,0,0,0.00,0,0,0,0.00
"120730018012",251,248,3,0.62,947,954,7,5.43,10,7,3,0.02,5,3,2,0.01,7,8,1,0.01
"120730018021",138,121,17,3.46,518,535,17,12.99,0,0,0,0.00,22,22,0,0.00,0,0,0,0.00
"120730018022",282,260,22,10.88,214,234,20,7.51,36,42,6,0.38,0,0,0,0.00,38,34,4,0.27
"120730018023",338,329,9,3.50,477,495,18,9.87,24,20,4,0.11,7,7,0,0.00,24,19,5,0.14
"120730019011",33,35,2,0.26,225,223,2,1.74,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730019012",55,46,9,1.04,421,430,9,7.96,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730019013",217,236,19,5.86,137,119,18,3.50,278,274,4,1.58,34,36,2,0.10,38,39,1,0.05
"120730019021",257,239,18,9.78,198,215,17,7.12,0,0,0,0.00,18,19,1,0.04,0,0,0,0.00
"120730019022",296,286,10,4.01,425,437,12,6.90,0,0,0,0.00,0,0,0,0.00,18,16,2,0.05
"120730019023",82,94,12,3.17,228,216,12,8.83,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730020031",136,140,4,1.06,334,317,17,11.05,23,32,9,0.40,0,0,0,0.00,21,25,4,0.16
"120730020041",675,675,0,0.00,486,492,6,2.32,42,40,2,0.07,55,51,4,0.17,0,0,0,0.00
"120730020042",338,342,4,1.73,369,366,3,1.42,48,47,1,0.06,27,27,0,0.00,0,0,0,0.00
"120730020043",223,224,1,0.67,112,111,1,0.33,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730020044",302,293,9,3.18,484,489,5,2.83,70,74,4,0.33,0,0,0,0.00,0,0,0,0.00
"120730020051",753,762,9,7.56,101,91,10,1.13,43,44,1,0.05,0,0,0,0.00,0,0,0,0.00
"120730020052",361,366,5,2.96,229,226,3,1.13,0,0,0,0.00,19,17,2,0.06,0,0,0,0.00
"120730020061",509,508,1,0.89,41,44,3,0.22,21,19,2,0.07,0,0,0,0.00,0,0,0,0.00
"120730020062",344,347,3,2.05,95,91,4,0.76,0,0,0,0.00,64,65,1,0.13,0,0,0,0.00
"120730020063",386,405,19,12.71,148,131,17,4.36,10,2,8,0.14,0,0,0,0.00,33,39,6,0.34
"120730021011",780,753,27,15.09,545,565,20,7.81,58,61,3,0.12,13,17,4,0.04,0,0,0,0.00
"120730021012",506,521,15,11.52,153,138,15,3.48,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730021031",468,477,9,4.71,379,374,5,2.12,21,17,4,0.09,14,18,4,0.06,12,8,4,0.05
"120730021032",453,451,2,1.50,134,136,2,0.44,0,0,0,0.00,0,0,0,0.00,19,19,0,0.00
"120730021041",458,456,2,1.07,375,374,1,0.44,0,0,0,0.00,0,0,0,0.00,27,30,3,0.09
"120730021042",254,264,10,3.54,401,408,7,3.91,0,0,0,0.00,13,12,1,0.02,50,34,16,1.11
"120730021043",1171,1184,13,8.19,576,557,19,5.89,49,56,7,0.18,11,14,3,0.02,52,48,4,0.11
"120730022011",143,134,9,2.85,295,308,13,8.50,13,9,4,0.12,0,0,0,0.00,0,0,0,0.00
"120730022012",100,89,11,6.11,60,74,14,4.67,0,0,0,0.00,0,0,0,0.00,20,17,3,0.33
"120730022013",218,217,1,0.65,115,116,1,0.35,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730022014",421,433,12,7.74,145,133,12,2.66,11,15,4,0.07,0,0,0,0.00,76,72,4,0.47
"120730022015",246,246,0,0.00,204,204,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730022051",264,270,6,2.57,331,334,3,1.61,21,12,9,0.31,0,0,0,0.00,0,0,0,0.00
"120730022052",171,181,10,5.64,82,73,9,2.44,0,0,0,0.00,50,49,1,0.17,0,0,0,0.00
"120730022053",259,254,5,3.32,131,136,5,1.68,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730022054",730,707,23,18.00,188,206,18,3.63,15,20,5,0.08,0,0,0,0.00,0,0,0,0.00
"120730022061",506,492,14,9.41,212,221,9,2.53,12,17,5,0.08,23,23,0,0.00,0,0,0,0.00
"120730022062",363,361,2,1.50,106,102,4,0.87,0,0,0,0.00,16,22,6,0.20,0,0,0,0.00
"120730022071",349,346,3,2.15,126,127,1,0.26,0,0,0,0.00,0,0,0,0.00,13,15,2,0.05
"120730022072",246,248,2,1.03,225,220,5,2.35,0,0,0,0.00,0,0,0,0.00,7,10,3,0.04
"120730022081",438,434,4,3.06,134,138,4,0.94,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730022082",686,671,15,13.03,104,119,15,1.97,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730022083",563,554,9,8.33,45,54,9,0.67,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730023021",382,387,5,4.13,80,75,5,0.87,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730023022",275,277,2,1.15,205,203,2,0.85,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730023023",298,298,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730023031",604,602,2,1.38,266,266,0,0.00,0,0,0,0.00,6,8,2,0.01,0,0,0,0.00
"120730023032",421,419,2,1.32,206,209,3,0.97,9,8,1,0.01,0,0,0,0.00,0,0,0,0.00
"120730023041",212,223,11,4.43,301,289,12,6.85,14,15,1,0.03,0,0,0,0.00,0,0,0,0.00
"120730023042",215,211,4,2.94,73,74,1,0.25,0,0,0,0.00,0,0,0,0.00,5,8,3,0.05
"120730023043",352,352,0,0.00,14,14,0,0.00,0,0,0,0.00,8,8,0,0.00,0,0,0,0.00
"120730024031",398,403,5,2.77,289,286,3,1.21,24,25,1,0.03,8,5,3,0.03,0,0,0,0.00
"120730024032",281,269,12,8.16,123,127,4,1.19,9,17,8,0.17,0,0,0,0.00,0,0,0,0.00
"120730024081",915,922,7,6.51,69,62,7,0.49,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
