stcotrbg,adj_acs_1,sp_1,diff_1,w_diff_1,adj_acs_2,sp_2,diff_2,w_diff_2,adj_acs_3,sp_3,diff_3,w_diff_3,adj_acs_4,sp_4,diff_4,w_diff_4,adj_acs_5,sp_5,diff_5,w_diff_5,adj_acs_6,sp_6,diff_6,w_diff_6,adj_acs_7,sp_7,diff_7,w_diff_7
"120730002001",303,288,15,6.88,220,216,4,1.33,72,83,11,1.20,44,49,5,0.33,15,17,2,0.05,5,7,2,0.02,2,1,1,0.00
"120730002002",139,145,6,2.28,133,135,2,0.73,53,46,7,1.02,25,27,2,0.14,6,2,4,0.07,8,9,1,0.02,1,1,0,0.00
"120730002003",574,575,1,0.72,175,166,9,1.97,33,41,8,0.33,15,14,1,0.02,3,4,1,0.00,0,0,0,0.00,0,0,0,0.00
"120730002004",197,187,10,5.25,128,135,7,2.39,30,33,3,0.24,15,16,1,0.04,5,4,1,0.01,0,0,0,0.00,0,0,0,0.00
"120730003011",261,265,4,1.38,315,307,8,3.34,103,108,5,0.68,49,55,6,0.39,17,10,7,0.16,5,7,2,0.01,5,3,2,0.01
"120730003021",233,249,16,6.12,252,240,12,4.97,69,73,4,0.45,38,27,11,0.69,13,15,2,0.04,2,3,1,0.00,2,2,0,0.00
"120730003022",213,209,4,1.49,215,231,16,6.00,88,71,17,2.61,46,53,7,0.56,10,9,1,0.02,1,0,1,0.00,0,0,0,0.00
"120730003031",418,435,17,7.43,344,325,19,6.84,117,127,10,1.22,55,49,6,0.35,19,19,0,0.00,2,1,1,0.00,1,0,1,0.00
"120730003032",291,295,4,1.39,278,274,4,1.32,160,159,1,0.19,69,68,1,0.08,26,28,2,0.06,11,12,1,0.01,5,4,1,0.01
"120730004001",179,177,2,0.85,129,134,5,1.54,70,67,3,0.50,24,28,4,0.23,13,9,4,0.12,3,4,1,0.01,2,1,1,0.00
"120730004002",14,17,3,0.89,29,29,0,0.00,4,1,3,0.26,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00,0,0,0,0.00
"120730005001",230,222,8,3.01,306,317,11,5.50,54,50,4,0.35,18,15,3,0.09,3,6,3,0.01,0,0,0,0.00,1,2,1,0.00
"120730005002",326,321,5,3.94,63,67,4,0.61,14,19,5,0.17,8,7,1,0.02,2,0,2,0.01,0,0,0,0.00,1,0,1,0.00
"120730006001",98,118,20,6.62,89,83,6,1.80,44,45,1,0.15,32,28,4,0.43,18,13,5,0.30,9,6,3,0.09,6,3,3,0.06
"120730006002",108,120,12,3.87,95,87,8,2.27,55,60,5,0.82,42,38,4,0.50,15,10,5,0.22,9,6,3,0.08,11,14,3,0.10
"120730006003",543,544,1,0.64,184,186,2,0.43,80,78,2,0.19,33,34,1,0.04,5,1,4,0.02,3,4,1,0.00,2,3,1,0.00
"120730007001",210,201,9,3.83,181,192,11,4.03,61,59,2,0.25,22,24,2,0.09,13,10,3,0.08,5,6,1,0.01,2,2,0,0.00
"120730007002",353,351,2,1.12,198,204,6,1.89,52,51,1,0.08,15,12,3,0.07,5,2,3,0.02,6,10,4,0.04,1,0,1,0.00
"120730008001",152,155,3,0.96,193,195,2,0.81,79,72,7,1.16,38,40,2,0.16,10,10,0,0.00,4,4,0,0.00,0,0,0,0.00
"120730008002",167,152,15,6.64,140,142,2,0.74,36,42,6,0.57,23,28,5,0.31,7,8,1,0.02,2,2,0,0.00,2,3,1,0.01
"120730008003",265,283,18,7.49,221,191,30,10.41,76,73,3,0.36,55,67,12,1.04,14,17,3,0.07,5,5,0,0.00,1,1,0,0.00
"120730009011",188,164,24,8.25,205,219,14,5.25,88,93,5,0.80,47,52,5,0.43,14,13,1,0.03,5,6,1,0.01,0,0,0,0.00
"120730009012",359,331,28,11.51,299,301,2,0.68,125,141,16,2.29,66,69,3,0.23,16,18,2,0.04,6,8,2,0.01,2,5,3,0.01
"120730009013",327,296,31,10.41,363,420,57,21.24,176,162,14,2.53,73,66,7,0.52,24,20,4,0.10,10,8,2,0.02,1,2,1,0.00
"120730009014",93,89,4,1.26,94,97,3,0.95,60,69,9,1.82,31,23,8,0.84,12,12,0,0.00,4,4,0,0.00,2,2,0,0.00
"120730009015",440,477,37,14.92,439,441,2,0.80,130,110,20,2.38,61,50,11,0.62,16,11,5,0.07,3,1,2,0.01,2,1,1,0.00
"120730009031",105,95,10,3.57,122,128,6,2.49,34,32,2,0.23,22,26,4,0.30,9,11,2,0.06,1,1,0,0.00,1,1,0,0.00
"120730009032",406,423,17,8.06,304,323,19,6.75,93,67,26,2.82,30,20,10,0.35,12,15,3,0.04,5,3,2,0.01,6,5,1,0.01
"120730009041",527,549,22,11.39,357,341,16,5.61,101,95,6,0.60,25,26,1,0.02,8,7,1,0.01,0,0,0,0.00,0,0,0,0.00
"120730009042",329,327,2,0.79,329,325,4,1.59,91,84,7,0.77,52,66,14,0.88,15,15,0,0.00,8,5,3,0.03,5,7,2,0.01
"120730009051",431,418,13,6.72,247,248,1,0.30,100,115,15,1.80,37,39,2,0.09,14,11,3,0.05,5,3,2,0.01,0,0,0,0.00
"120730009052",186,181,5,1.75,204,197,7,2.68,80,86,6,0.90,36,38,2,0.14,19,21,2,0.07,5,4,1,0.01,2,5,3,0.01
"120730010011",114,127,13,2.96,131,121,10,2.61,117,128,11,2.57,87,77,10,1.74,30,29,1,0.06,11,10,1,0.02,11,9,2,0.04
"120730010012",136,135,1,0.29,119,124,5,1.25,63,68,5,0.66,78,69,9,1.48,47,54,7,0.69,25,22,3,0.16,7,3,4,0.06
"120730010021",156,161,5,1.08,141,150,9,1.75,142,134,8,1.57,189,171,18,4.69,51,58,7,0.49,27,27,0,0.00,19,24,5,0.13
"120730011011",70,65,5,1.08,80,78,2,0.49,82,91,9,2.27,51,54,3,0.47,24,29,5,0.37,15,7,8,0.37,3,1,2,0.02
"120730011012",111,117,6,2.27,89,80,9,2.72,49,42,7,1.17,23,25,2,0.16,12,11,1,0.04,8,17,9,0.24,2,2,0,0.00
"120730011013",83,74,9,4.53,50,57,7,2.12,18,14,4,0.44,8,11,3,0.15,4,6,2,0.05,2,3,1,0.01,0,0,0,0.00
"120730011021",167,170,3,0.79,208,232,24,7.91,160,133,27,6.85,51,50,1,0.08,23,26,3,0.11,13,9,4,0.08,9,11,2,0.03
"120730011022",78,69,9,2.01,111,124,13,4.12,66,68,2,0.38,47,48,1,0.13,21,18,3,0.18,19,15,4,0.22,8,8,0,0.00
"120730012001",166,158,8,2.39,204,210,6,2.20,111,121,10,2.00,42,33,9,0.68,20,21,1,0.04,5,5,0,0.00,8,8,0,0.00
"120730014011",178,175,3,1.11,155,156,1,0.32,70,68,2,0.29,51,51,0,0.00,15,17,2,0.06,7,9,2,0.03,5,5,0,0.00
"120730014012",448,457,9,4.97,237,232,5,1.46,81,78,3,0.30,35,33,2,0.09,6,7,1,0.01,3,3,0,0.00,2,2,0,0.00
"120730014021",112,108,4,1.26,105,103,2,0.59,72,88,16,3.24,27,24,3,0.23,19,15,4,0.21,10,8,2,0.06,11,10,1,0.03
"120730014022",157,172,15,2.94,291,264,27,9.82,207,223,16,4.14,138,134,4,0.69,5,6,1,0.01,2,1,1,0.00,0,0,0,0.00
"120730014023",153,142,11,2.31,215,232,17,5.01,190,192,2,0.52,106,103,3,0.44,35,35,0,0.00,22,20,2,0.06,9,6,3,0.04
"120730015001",200,190,10,2.58,243,240,3,0.94,191,197,6,1.48,112,109,3,0.43,22,29,7,0.20,5,7,2,0.01,2,3,1,0.00
"120730015002",73,86,13,2.98,134,136,2,0.84,57,43,14,2.51,34,40,6,0.64,16,11,5,0.25,4,2,2,0.03,0,0,0,0.00
"120730015003",152,165,13,3.89,182,173,9,3.22,98,106,8,1.54,48,39,9,0.85,16,12,4,0.13,7,8,1,0.01,5,5,0,0.00
"120730015004",76,75,1,0.26,100,93,7,2.41,67,71,4,0.92,32,40,8,0.88,12,11,1,0.04,4,1,3,0.04,0,0,0,0.00
"120730016011",180,173,7,2.41,163,189,26,8.10,105,87,18,3.61,53,47,6,0.61,18,21,3,0.10,3,4,1,0.01,1,2,1,0.00
"120730016012",335,327,8,2.98,285,301,16,5.08,144,139,5,0.80,93,91,2,0.21,24,25,1,0.03,15,13,2,0.03,2,2,0,0.00
"120730016013",288,290,2,0.81,222,203,19,5.92,108,136,28,4.25,56,54,2,0.16,25,18,7,0.25,10,7,3,0.04,3,4,1,0.00
"120730016021",187,203,16,4.32,295,286,9,3.83,99,97,2,0.29,73,71,2,0.21,29,29,0,0.00,7,5,2,0.02,3,2,1,0.00
"120730016022",91,84,7,1.75,160,166,6,2.64,50,59,9,1.24,35,28,7,0.67,17,18,1,0.05,6,4,2,0.03,5,5,0,0.00
"120730016023",50,48,2,0.35,146,143,3,1.55,45,52,7,1.12,28,28,0,0.00,11,10,1,0.04,2,1,1,0.01,0,0,0,0.00
"120730017001",95,89,6,1.19,232,234,2,0.97,71,62,9,1.33,48,50,2,0.20,24,31,7,0.35,6,4,2,0.03,3,9,6,0.04
"120730017002",554,550,4,2.04,334,337,3,0.92,122,131,9,1.01,48,47,1,0.04,21,17,4,0.08,7,4,3,0.02,2,2,0,0.00
"120730017003",125,126,1,0.19,307,288,19,8.96,105,98,7,1.13,81,93,12,1.49,17,24,7,0.18,14,16,2,0.04,2,6,4,0.01
"120730017004",152,143,9,2.50,238,239,1,0.43,75,84,9,1.23,63,67,4,0.46,16,14,2,0.06,4,1,3,0.02,0,0,0,0.00
"120730017005",51,45,6,1.18,122,121,1,0.47,39,41,2,0.30,30,27,3,0.35,13,17,4,0.20,2,4,2,0.02,3,5,2,0.02
"120730017006",56,59,3,0.57,128,113,15,6.53,50,49,1,0.17,37,51,14,1.76,15,15,0,0.00,6,6,0,0.00,2,1,1,0.01
"120730018011",68,68,0,0.00,63,66,3,0.77,46,42,4,0.74,32,35,3,0.39,19,17,2,0.15,11,16,5,0.22,8,3,5,0.16
"120730018012",293,301,8,1.92,351,345,6,1.73,246,244,2,0.40,189,189,0,0.00,85,91,6,0.42,34,30,4,0.11,22,20,2,0.04
"120730018021",242,225,17,6.07,189,208,19,5.30,112,114,2,0.33,66,67,1,0.10,35,33,2,0.10,18,14,4,0.11,16,17,1,0.02
"120730018022",169,151,18,5.34,160,160,0,0.00,115,126,11,2.22,66,71,5,0.58,33,41,8,0.46,15,11,4,0.11,12,10,2,0.04
"120730018023",254,245,9,2.63,256,267,11,3.24,152,148,4,0.70,161,157,4,0.74,32,32,0,0.00,11,15,4,0.05,4,6,2,0.01
"120730019011",67,68,1,0.26,80,83,3,0.93,58,55,3,0.67,23,23,0,0.00,14,10,4,0.22,10,13,3,0.12,6,6,0,0.00
"120730019012",224,236,12,5.65,118,125,7,1.74,67,60,7,0.99,32,27,5,0.34,24,26,2,0.10,5,0,5,0.05,6,2,4,0.05
"120730019013",345,347,2,0.98,216,192,24,7.36,84,98,14,1.67,45,47,2,0.13,9,9,0,0.00,4,8,4,0.02,1,3,2,0.00
"120730019021",129,142,13,3.55,153,150,3,0.97,89,80,9,1.69,56,57,1,0.12,28,24,4,0.24,7,6,1,0.01,11,14,3,0.07
"120730019022",184,196,12,2.99,194,194,0,0.00,167,149,18,4.07,102,115,13,1.79,57,44,13,1.00,21,24,3,0.09,14,17,3,0.06
"120730019023",90,89,1,0.29,82,89,7,1.85,67,58,9,1.95,34,32,2,0.22,23,28,5,0.37,7,5,2,0.05,7,9,2,0.05
"120730020031",125,107,18,4.38,216,223,7,2.94,83,96,13,2.10,60,63,3,0.35,18,15,3,0.11,6,8,2,0.02,6,2,4,0.05
"120730020041",477,488,11,4.17,361,338,23,6.60,104,92,12,0.99,300,318,18,4.29,12,16,4,0.04,3,4,1,0.00,1,2,1,0.00
"120730020042",326,341,15,6.25,249,227,22,7.01,96,93,3,0.37,103,112,9,1.19,8,9,1,0.01,0,0,0,0.00,0,0,0,0.00
"120730020043",101,97,4,1.21,83,70,13,3.22,59,60,1,0.18,70,87,17,3.55,17,17,0,0.00,4,2,2,0.02,1,2,1,0.00
"120730020044",204,212,8,1.91,197,191,6,1.38,276,275,1,0.32,155,150,5,0.91,15,15,0,0.00,7,9,2,0.02,2,4,2,0.00
"120730020051",373,375,2,0.83,277,284,7,2.16,130,118,12,1.74,107,102,5,0.60,5,9,4,0.02,4,7,3,0.01,1,2,1,0.00
"120730020052",271,272,1,0.44,153,133,20,5.02,72,71,1,0.12,98,111,13,2.09,7,12,5,0.06,6,4,2,0.02,2,6,4,0.01
"120730020061",253,257,4,1.77,201,195,6,2.11,99,104,5,0.87,11,10,1,0.02,5,3,2,0.02,1,0,1,0.00,1,2,1,0.00
"120730020062",195,205,10,3.88,196,202,6,2.34,64,53,11,1.40,38,32,6,0.45,7,8,1,0.01,2,1,1,0.00,1,2,1,0.00
"120730020063",131,145,14,3.18,180,180,0,0.00,165,174,9,2.57,70,54,16,1.94,18,12,6,0.19,8,6,2,0.03,5,6,1,0.01
"120730021011",438,433,5,1.57,441,461,20,6.32,353,331,22,5.56,110,114,4,0.32,38,36,2,0.05,9,15,6,0.04,7,6,1,0.01
"120730021012",182,194,12,3.31,224,212,12,4.08,135,119,16,3.28,87,98,11,1.45,18,22,4,0.11,10,10,0,0.00,3,4,1,0.00
"120730021031",209,208,1,0.23,294,284,10,3.29,150,167,17,2.85,213,205,8,1.91,20,23,3,0.07,5,5,0,0.00,3,2,1,0.00
"120730021032",233,238,5,1.92,248,247,1,0.41,80,73,7,0.92,35,43,8,0.46,5,1,4,0.03,3,2,1,0.00,2,2,0,0.00
"120730021041",288,288,0,0.00,274,279,5,1.59,203,209,6,1.42,53,46,7,0.43,26,21,5,0.15,13,16,3,0.05,3,1,2,0.01
"120730021042",261,262,1,0.36,219,229,10,3.05,132,127,5,0.92,68,63,5,0.47,18,17,1,0.03,13,15,2,0.04,7,5,2,0.02
"120730021043",887,876,11,5.25,330,330,0,0.00,339,343,4,0.73,278,279,1,0.15,19,18,1,0.01,4,7,3,0.01,2,6,4,0.00
"120730022011",101,110,9,2.02,148,137,11,3.61,123,132,9,2.45,49,46,3,0.33,17,15,2,0.08,8,7,1,0.02,5,4,1,0.01
"120730022012",54,47,7,2.10,50,66,16,4.44,34,32,2,0.38,15,15,0,0.00,13,7,6,0.43,9,8,1,0.05,5,5,0,0.00
"120730022013",93,98,5,1.40,122,113,9,3.30,69,66,3,0.62,37,44,7,0.78,7,7,0,0.00,4,3,1,0.01,1,2,1,0.00
"120730022014",186,211,25,7.12,226,224,2,0.69,149,136,13,2.97,59,48,11,0.99,17,17,0,0.00,8,9,1,0.01,8,8,0,0.00
"120730022015",110,116,6,1.47,165,166,1,0.37,85,75,10,1.89,54,63,9,1.08,25,23,2,0.11,6,3,3,0.04,5,4,1,0.01
"120730022051",137,144,7,1.56,204,177,27,8.94,148,159,11,2.64,71,70,1,0.12,33,44,11,0.59,16,14,2,0.05,7,8,1,0.01
"120730022052",68,68,0,0.00,129,134,5,2.13,61,52,9,1.81,30,36,6,0.59,10,9,1,0.03,4,2,2,0.03,1,2,1,0.00
"120730022053",122,108,14,4.38,130,144,14,4.67,74,76,2,0.38,38,29,9,0.88,19,26,7,0.34,5,6,1,0.01,2,1,1,0.01
"120730022054",194,189,5,1.04,332,301,31,11.03,179,192,13,2.49,135,146,11,1.59,60,69,9,0.58,22,28,6,0.14,11,8,3,0.04
"120730022061",150,157,7,1.39,279,271,8,2.96,160,155,5,1.06,99,103,4,0.53,39,37,2,0.10,12,14,2,0.03,14,16,2,0.04
"120730022062",108,113,5,1.11,181,173,8,2.99,98,97,1,0.20,65,74,9,1.21,20,14,6,0.25,10,13,3,0.06,3,1,2,0.01
"120730022071",172,165,7,2.47,179,195,16,5.87,71,67,4,0.58,36,31,5,0.37,19,18,1,0.04,8,10,2,0.03,3,2,1,0.01
"120730022072",145,149,4,1.21,146,156,10,3.05,111,94,17,3.95,53,50,3,0.33,15,19,4,0.13,4,6,2,0.02,4,4,0,0.00
"120730022081",162,150,12,3.40,211,206,5,1.84,106,115,9,1.67,59,61,2,0.21,25,28,3,0.13,8,11,3,0.04,1,1,0,0.00
"120730022082",200,186,14,3.54,309,313,4,1.56,132,140,8,1.34,98,99,1,0.12,36,42,6,0.27,12,6,6,0.09,3,4,1,0.00
"120730022083",122,107,15,3.01,229,234,5,1.88,118,112,6,1.16,81,95,14,1.87,40,43,3,0.20,14,12,2,0.05,4,5,1,0.01
"120730023021",94,79,15,3.05,168,191,23,8.36,79,75,4,0.68,61,55,6,0.79,31,29,2,0.13,20,23,3,0.13,9,10,1,0.02
"120730023022",109,106,3,0.68,161,166,5,1.68,85,74,11,1.95,70,72,2,0.29,28,28,0,0.00,14,21,7,0.20,13,13,0,0.00
"120730023023",32,36,4,0.43,137,147,10,4.60,52,46,6,1.05,55,49,6,1.11,18,19,1,0.06,2,0,2,0.01,2,1,1,0.01
"120730023031",204,210,6,1.40,279,265,14,4.46,189,182,7,1.51,120,135,15,2.05,57,59,2,0.13,19,20,1,0.02,8,5,3,0.03
"120730023032",138,123,15,3.25,229,230,1,0.36,126,128,2,0.40,76,89,13,1.55,42,39,3,0.20,14,15,1,0.02,11,12,1,0.02
"120730023041",163,171,8,2.47,167,165,2,0.63,92,96,4,0.70,56,44,12,1.28,26,27,1,0.05,11,13,2,0.04,12,11,1,0.02
"120730023042",94,99,5,1.60,77,77,0,0.00,66,60,6,1.35,26,26,0,0.00,21,19,2,0.14,6,7,1,0.02,3,5,2,0.02
"120730023043",112,125,13,3.89,121,106,15,4.85,65,76,11,1.91,48,37,11,1.41,17,19,2,0.09,7,7,0,0.00,4,4,0,0.00
"120730024031",215,208,7,2.09,252,246,6,2.10,116,131,15,2.42,78,74,4,0.43,42,46,4,0.23,10,8,2,0.03,6,6,0,0.00
"120730024032",104,107,3,0.76,161,150,11,4.29,73,81,8,1.41,54,56,2,0.26,15,12,3,0.11,5,6,1,0.01,1,1,0,0.00
"120730024081",190,186,4,0.77,354,361,7,2.52,188,182,6,1.15,161,158,3,0.49,60,58,2,0.12,17,20,3,0.05,14,19,5,0.07
"120730024082",89,93,4,0.65,189,194,5,1.73,104,107,3,0.57,109,103,6,1.20,43,39,4,0.32,9,9,0,0.00,3,1,2,0.01
"120730024083",97,118,21,3.06,241,253,12,4.34,131,131,0,0.00,136,115,21,4.29,48,35,13,0.94,7,8,1,0.01,6,6,0,0.00
"120730024084",137,108,29,5.77,258,262,4,1.50,130,142,12,2.26,112,120,8,1.30,36,33,3,0.16,10,15,5,0.07,6,9,3,0.03
"120730024101",61,69,8,1.44,130,115,15,5.77,68,87,19,3.82,41,39,2,0.24,24,18,6,0.43,11,8,3,0.10,3,2,1,0.01
"120730024102",72,74,2,0.30,206,204,2,0.85,99,101,2,0.41,71,64,7,1.02,28,22,6,0.34,8,16,8,0.13,3,6,3,0.02
"120730024103",217,226,9,2.61,246,234,12,3.95,140,145,5,0.94,97,101,4,0.52,31,28,3,0.12,10,10,0,0.00,6,3,3,0.02
"120730024104",555,559,4,1.95,355,344,11,3.43,140,142,2,0.25,67,73,6,0.35,21,19,2,0.04,2,3,1,0.00,0,0,0,0.00
"120730024111",124,117,7,1.43,212,213,1,0.35,112,111,1,0.18,100,98,2,0.33,45,56,11,0.81,13,12,1,0.02,3,2,1,0.00
"120730024121",218,219,1,0.14,563,560,3,1.06,323,329,6,1.21,308,300,8,1.54,132,131,1,0.08,43,50,7,0.19,12,10,2,0.02
"120730024122",118,134,16,2.85,207,217,10,3.13,151,155,4,0.91,131,103,28,5.54,48,48,0,0.00,3,1,2,0.01,4,4,0,0.00
"120730024123",48,53,5,0.50,123,120,3,0.78,121,126,5,1.27,135,138,3,0.85,40,30,10,0.84,7,8,1,0.01,2,1,1,0.00
"120730024124",89,91,2,0.39,137,140,3,0.90,94,81,13,2.67,93,101,8,1.63,37,38,1,0.08,6,6,0,0.00,1,0,1,0.00
"120730024131",137,146,9,1.41,300,298,2,0.68,169,157,12,2.31,177,173,4,0.81,64,74,10,0.73,22,18,4,0.10,8,11,3,0.03
"120730024141",51,40,11,1.66,154,157,3,1.37,63,66,3,0.56,43,48,5,0.64,17,17,0,0.00,8,8,0,0.00,1,1,0,0.00
"120730024142",286,296,10,2.64,458,466,8,3.38,166,159,7,1.07,108,97,11,1.09,45,46,1,0.04,12,9,3,0.03,10,12,2,0.02
"120730024143",180,185,5,2.02,153,144,9,3.09,61,60,1,0.14,34,43,9,0.69,11,8,3,0.07,4,4,0,0.00,2,1,1,0.00
