stcotrbg,count_of_households,size_accuracy,age_accuracy,income_accuracy,race_accuracy,overall_accuracy
"120730002001",661,1.40,1.01,0.85,1.17,4.43
"120730002002",365,0.61,0.27,0.53,0.00,1.41
"120730002003",800,0.43,0.74,1.09,2.03,4.29
"120730002004",375,1.13,0.40,1.17,0.20,2.90
"120730003011",755,0.85,0.88,1.75,4.71,8.19
"120730003021",609,1.75,1.51,1.44,0.20,4.90
"120730003022",573,1.53,0.46,1.20,0.44,3.63
"120730003031",956,2.26,1.96,0.87,3.41,8.50
"120730003032",840,0.44,1.61,2.04,1.25,5.34
"120730004001",420,0.46,1.24,1.05,2.60,5.35
"120730004002",47,0.16,0.00,2.00,0.00,2.16
"120730005001",612,1.28,0.69,1.59,0.39,3.95
"120730005002",414,0.68,0.57,0.86,0.49,2.60
"120730006001",296,1.35,0.77,0.93,1.00,4.05
"120730006002",335,1.12,0.31,1.36,0.78,3.57
"120730006003",850,0.19,1.12,2.10,2.34,5.75
"120730007001",494,1.18,1.44,0.83,1.69,5.14
"120730007002",630,0.46,0.82,1.34,0.66,3.28
"120730008001",476,0.44,0.86,0.91,1.80,4.01
"120730008002",377,1.18,0.33,0.89,1.00,3.40
"120730008003",637,2.77,0.74,2.13,0.77,6.41
"120730009011",547,2.11,1.51,0.29,2.88,6.79
"120730009012",873,2.11,1.42,1.77,1.45,6.75
"120730009013",974,4.97,0.81,1.46,1.30,8.54
"120730009014",296,0.70,0.45,1.03,3.57,5.75
"120730009015",1091,2.69,0.89,1.57,1.37,6.52
"120730009031",294,0.95,0.62,1.24,0.90,3.71
"120730009032",856,2.58,1.55,2.03,2.87,9.03
"120730009041",1018,2.52,0.75,3.44,3.06,9.77
"120730009042",829,0.58,1.88,1.61,2.43,6.50
"120730009051",834,1.28,0.74,2.01,5.13,9.16
"120730009052",532,0.79,1.21,1.53,0.20,3.73
"120730010011",501,1.43,2.01,0.28,1.64,5.36
"120730010012",475,0.66,1.05,1.28,2.17,5.16
"120730010021",725,1.39,1.39,0.44,0.80,4.02
"120730011011",325,0.72,0.72,1.09,0.60,3.13
"120730011012",294,0.94,0.68,1.26,0.00,2.88
"120730011013",165,1.04,0.70,0.47,0.00,2.21
"120730011021",631,2.26,0.97,1.31,0.00,4.54
"120730011022",350,1.01,0.57,1.69,0.80,4.07
"120730012001",556,1.04,1.36,1.78,1.57,5.75
"120730014011",481,0.26,1.21,0.70,0.00,2.17
"120730014012",812,0.98,1.38,1.44,3.26,7.06
"120730014021",356,0.80,0.81,1.51,0.86,3.98
"120730014022",800,2.51,0.57,1.26,0.66,5.00
"120730014023",730,1.20,1.00,1.73,3.80,7.73
"120730015001",775,0.81,2.34,1.41,2.52,7.08
"120730015002",318,1.04,1.15,1.64,0.20,4.03
"120730015003",508,1.38,0.95,0.28,1.66,4.27
"120730015004",291,0.65,1.05,0.85,0.40,2.95
"120730016011",523,2.12,0.33,0.62,0.80,3.87
"120730016012",898,1.30,1.03,0.84,0.70,3.87
"120730016013",712,1.63,1.43,1.12,2.28,6.46
"120730016021",693,1.24,1.50,0.65,1.15,4.54
"120730016022",364,0.91,1.02,0.59,1.86,4.38
"120730016023",282,0.44,0.56,0.53,0.60,2.13
"120730017001",479,0.59,0.67,0.89,1.15,3.30
"120730017002",1088,0.59,1.67,1.40,0.28,3.94
"120730017003",651,1.71,1.14,2.13,0.02,5.00
"120730017004",548,0.67,0.61,3.52,0.40,5.20
"120730017005",260,0.36,0.92,0.97,0.00,2.25
"120730017006",294,1.29,1.23,0.49,0.60,3.61
"120730018011",247,0.35,0.39,0.98,0.41,2.13
"120730018012",1220,0.66,0.92,2.72,1.22,5.52
"120730018021",678,1.72,1.27,0.71,3.29,6.99
"120730018022",570,1.25,1.00,2.11,3.81,8.17
"120730018023",870,1.05,1.17,1.84,2.72,6.78
"120730019011",258,0.31,0.86,0.65,0.40,2.22
"120730019012",476,1.27,0.94,2.11,1.80,6.12
"120730019013",704,1.45,0.80,0.91,2.22,5.38
"120730019021",473,0.95,1.10,1.47,3.39,6.91
"120730019022",739,1.43,1.39,2.38,2.19,7.39
"120730019023",310,0.68,0.53,1.65,2.40,5.26
"120730020031",514,1.42,0.90,1.10,2.53,5.95
"120730020041",1258,2.30,1.59,1.50,0.51,5.90
"120730020042",782,2.12,0.36,1.74,0.64,4.86
"120730020043",335,1.17,0.56,1.50,0.20,3.43
"120730020044",856,0.65,2.14,1.38,1.27,5.44
"120730020051",897,0.77,1.20,4.82,1.75,8.54
"120730020052",609,1.11,1.92,2.56,0.83,6.42
"120730020061",571,0.68,0.36,1.40,0.24,2.68
"120730020062",503,1.15,1.02,2.55,0.59,5.31
"120730020063",577,1.13,1.33,1.51,3.51,7.48
"120730021011",1396,1.98,1.23,3.35,4.61,11.17
"120730021012",659,1.75,0.89,1.12,3.00,6.76
"120730021031",894,1.19,0.42,2.10,1.41,5.12
"120730021032",606,0.53,0.32,1.37,0.39,2.61
"120730021041",860,0.52,1.65,1.62,0.32,4.11
"120730021042",718,0.70,1.30,1.84,1.72,5.56
"120730021043",1859,0.88,3.89,1.64,2.88,9.29
"120730022011",451,1.22,0.83,1.53,2.29,5.87
"120730022012",180,1.06,1.13,0.39,2.22,4.80
"120730022013",333,0.87,1.60,0.93,0.20,3.60
"120730022014",653,1.68,1.68,1.51,2.19,7.06
"120730022015",450,0.71,0.76,0.87,0.00,2.34
"120730022051",616,1.99,1.27,1.34,0.90,5.50
"120730022052",303,0.66,1.07,0.56,1.65,3.94
"120730022053",390,1.52,0.58,1.66,1.00,4.76
"120730022054",933,2.42,1.18,1.53,4.34,9.47
"120730022061",753,0.87,1.02,1.57,2.40,5.86
"120730022062",485,0.83,0.85,1.49,0.51,3.68
"120730022071",488,1.34,1.15,0.75,0.49,3.73
"120730022072",478,1.24,0.49,0.93,0.68,3.34
"120730022081",572,1.04,0.89,1.16,0.80,3.89
"120730022082",790,0.99,1.68,2.36,3.00,8.03
"120730022083",608,1.17,1.21,2.32,1.80,6.50
"120730023021",462,1.88,0.94,1.82,1.00,5.64
"120730023022",480,0.69,1.40,1.10,0.40,3.59
"120730023023",298,1.04,0.58,3.04,0.00,4.66
"120730023031",876,1.37,1.76,1.12,0.28,4.53
"120730023032",636,0.83,1.00,1.26,0.46,3.55
"120730023041",527,0.74,0.46,1.37,2.26,4.83
"120730023042",293,0.45,0.59,1.16,0.65,2.85
"120730023043",374,1.74,0.63,0.98,0.00,3.35
"120730024031",719,1.04,0.95,0.81,0.81,3.61
"120730024032",413,0.98,1.50,1.41,1.90,5.79
"120730024081",984,0.74,1.21,0.75,1.40,4.10
"120730024082",546,0.64,0.77,2.33,1.20,4.94
"120730024083",666,1.81,1.68,5.19,1.00,9.68
"120730024084",689,1.58,1.85,0.10,2.40,5.93
"120730024101",338,1.69,1.28,0.92,1.20,5.09
