time,S,L,IS,R,vacc1,vacc2
0.00,260282,260,0,0,0,0
0.00,260282,246,14,0,1021,0
0.10,260282,238,22,0,2009,0
0.20,260282,231,29,0,3006,0
0.30,260282,225,35,0,3951,0
0.40,260282,214,46,0,4941,0
0.50,260282,206,54,0,5921,0
0.60,260282,191,69,0,7002,0
0.70,260282,182,78,0,8010,0
0.80,260282,169,91,0,9022,0
0.90,260282,163,97,0,10034,0
1.00,260282,156,104,0,11002,0
1.10,260282,150,110,0,11967,0
1.20,260282,143,117,0,12940,0
1.30,260282,136,124,0,13944,0
1.40,260282,126,134,0,14970,0
1.50,260282,120,140,0,15947,0
1.60,260282,112,148,0,16860,0
1.70,260282,110,150,0,17814,0
1.80,260282,104,156,0,18782,0
1.90,260282,98,162,0,19801,0
2.00,260282,91,169,0,20835,0
2.10,260282,84,176,0,21833,0
2.20,260282,78,182,0,22810,0
2.30,260282,76,184,0,23799,0
2.40,260282,73,187,0,24797,0
2.50,260282,70,190,0,25767,0
2.60,260282,68,192,0,26784,0
2.70,260282,66,194,0,27779,0
2.80,260282,65,195,0,28769,0
2.90,260282,63,197,0,29760,0
3.00,260282,61,199,0,30752,0
3.10,260282,59,201,0,31760,0
3.20,260282,56,204,0,32777,0
3.30,260282,52,208,0,32777,0
3.40,260282,50,210,0,32777,0
3.50,260282,49,211,0,32777,0
3.60,260282,48,212,0,32777,0
3.70,260282,48,212,0,32777,0
3.80,260282,44,216,0,32777,0
3.90,260282,41,219,0,32777,0
4.00,260282,39,221,0,32777,0
4.10,260282,36,224,0,32777,0
4.20,260282,33,227,0,32777,0
4.30,260282,30,230,0,32777,0
4.40,260282,29,231,0,32777,0
4.50,260282,27,233,0,32777,0
4.60,260282,27,233,0,32777,0
4.70,260282,24,236,0,32777,0
4.80,260282,22,238,0,32777,0
4.90,260282,21,239,0,32777,0
5.00,260282,20,240,0,32777,0
5.10,260282,19,241,0,32777,0
5.20,260282,17,243,0,32777,0
5.30,260282,16,244,0,32777,0
5.40,260282,16,244,0,32777,0
5.50,260282,16,244,0,32777,0
5.60,260282,14,246,0,32777,0
5.70,260282,14,246,0,32777,0
5.80,260282,13,247,0,32777,0
5.90,260282,12,248,0,32777,0
6.00,260282,12,248,0,32777,0
6.10,260282,11,249,0,32777,0
6.20,260282,11,249,0,32777,0
6.30,260282,10,250,0,32777,0
6.40,260282,10,250,0,32777,0
6.50,260282,10,250,0,32777,0
6.60,260282,10,250,0,32777,0
6.70,260282,9,251,0,32777,0
6.80,260282,8,252,0,32777,0
6.90,260282,8,252,0,32777,0
7.00,260282,8,252,0,32777,0
7.10,260282,8,252,0,32777,0
7.20,260282,8,252,0,32777,0
7.30,260282,7,253,0,32777,0
7.40,260282,7,253,0,32777,0
7.50,260282,7,253,0,32777,0
7.60,260282,7,253,0,32777,0
7.70,260282,6,254,0,32777,0
7.80,260282,6,254,0,32777,0
7.90,260282,5,255,0,32777,0
8.00,260282,5,255,0,32777,0
8.10,260282,5,241,14,32777,0
8.20,260282,5,233,22,32777,0
8.30,260282,5,226,29,32777,0
8.40,260282,5,220,35,32777,0
8.50,260282,5,209,46,32777,0
8.60,260282,4,202,54,32777,0
8.70,260282,4,187,69,32777,0
8.80,260282,4,178,78,32777,0
8.90,260282,2,167,91,32777,0
9.00,260282,2,161,97,32777,0
9.10,260282,1,155,104,32777,0
9.20,260282,1,149,110,32777,0
9.30,260282,1,142,117,32777,0
9.40,260282,1,135,124,32777,0
9.50,260282,1,119,140,32777,0
9.60,260282,1,111,148,32777,0
9.70,260282,0,110,150,32777,0
9.80,260282,0,104,156,32777,0
9.90,260282,0,98,162,32777,0
10.00,260282,0,91,169,32777,0
10.10,260282,0,84,176,32777,0
10.20,260282,0,78,182,32777,0
10.30,260282,0,76,184,32777,0
10.40,260282,0,73,187,32777,0
10.50,260282,0,70,190,32777,0
10.60,260282,0,68,192,32777,0
10.70,260282,0,66,194,32777,0
10.80,260282,0,65,195,32777,0
10.90,260282,0,63,197,32777,0
11.00,260282,0,61,199,32777,0
11.10,260282,0,59,201,32777,0
11.20,260282,0,56,204,32777,0
11.30,260282,0,52,208,32777,0
11.40,260282,0,50,210,32777,0
11.50,260282,0,49,211,32777,0
11.60,260282,0,48,212,32777,0
11.70,260282,0,48,212,32777,0
11.80,260282,0,44,216,32777,0
11.90,260282,0,41,219,32777,0
12.00,260282,0,39,221,32777,0
12.10,260282,0,36,224,32777,0
12.20,260282,0,33,227,32777,0
12.30,260282,0,30,230,32777,0
12.40,260282,0,29,231,32777,0
12.50,260282,0,27,233,32777,0
12.60,260282,0,27,233,32777,0
12.70,260282,0,24,236,32777,0
12.80,260282,0,22,238,32777,0
12.90,260282,0,21,239,32777,0
13.00,260282,0,20,240,32777,0
13.10,260282,0,19,241,32777,0
13.20,260282,0,17,243,32777,0
13.30,260282,0,16,244,32777,0
13.40,260282,0,16,244,32777,0
13.50,260282,0,16,244,32777,0
13.60,260282,0,14,246,32777,0
13.70,260282,0,14,246,32777,0
13.80,260282,0,13,247,32777,0
13.90,260282,0,12,248,32777,0
14.00,260282,0,12,248,32777,0
14.10,260282,0,11,249,32777,0
14.20,260282,0,11,249,32777,0
14.30,260282,0,10,250,32777,0
14.40,260282,0,10,250,32777,0
14.50,260282,0,10,250,32777,0
14.60,260282,0,10,250,32777,0
14.70,260282,0,9,251,32777,0
14.80,260282,0,8,252,32777,0
14.90,260282,0,8,252,32777,0
15.00,260282,0,8,252,32777,0
15.10,260282,0,8,252,32777,0
15.20,260282,0,8,252,32777,0
15.30,260282,0,7,253,32777,0
15.40,260282,0,7,253,32777,0
15.50,260282,0,7,253,32777,0
15.60,260282,0,7,253,32777,0
15.70,260282,0,6,254,32777,0
15.80,260282,0,6,254,32777,0
15.90,260282,0,5,255,32777,0
16.00,260282,0,5,255,32777,0
16.10,260282,0,5,255,32777,0
16.20,260282,0,5,255,32777,0
16.30,260282,0,5,255,32777,0
16.40,260282,0,5,255,32777,0
16.50,260282,0,5,255,32777,0
16.60,260282,0,4,256,32777,0
16.70,260282,0,4,256,32777,0
16.80,260282,0,4,256,32777,0
16.90,260282,0,2,258,32777,0
17.00,260282,0,2,258,32777,0
17.10,260282,0,1,259,32777,0
17.20,260282,0,1,259,32777,0
17.30,260282,0,1,259,32777,0
17.40,260282,0,1,259,32777,0
17.50,260282,0,1,259,32777,0
17.60,260282,0,1,259,32777,0
17.70,260282,0,0,260,32777,0
