from_id,to_id,from_state,to_state,from_time,to_time
197339, 197339, 0, 11, 0.000000, 0.000000
103326, 103326, 1, 4, 0.000000, 0.000000
83247, 83247, 1, 4, 0.000000, 0.000000
45968, 45968, 1, 4, 0.000000, 0.000000
189636, 189636, 1, 4, 0.000000, 0.000000
41451, 41451, 1, 4, 0.000000, 0.000000
130654, 130654, 1, 4, 0.000000, 0.000000
218859, 218859, 1, 4, 0.000000, 0.000000
155549, 155549, 1, 4, 0.000000, 0.000000
260190, 260190, 1, 4, 0.000000, 0.000000
102683, 102683, 1, 4, 0.000000, 0.000000
152395, 152395, 1, 4, 0.000000, 0.000000
15939, 15939, 1, 4, 0.000000, 0.000000
253502, 253502, 1, 4, 0.000000, 0.000000
229646, 229646, 1, 4, 0.000000, 0.000000
251944, 251944, 1, 4, 0.000000, 0.000000
199235, 199235, 1, 4, 0.000000, 0.000000
19404, 19404, 1, 4, 0.000000, 0.000000
246512, 246512, 1, 4, 0.000000, 0.000000
34527, 34527, 1, 4, 0.000000, 0.000000
54689, 54689, 1, 4, 0.000000, 0.000000
31963, 31963, 1, 4, 0.000000, 0.000000
114377, 114377, 1, 4, 0.000000, 0.100000
241171, 241171, 1, 4, 0.000000, 0.100000
104255, 104255, 1, 4, 0.000000, 0.100000
176203, 176203, 1, 4, 0.000000, 0.100000
227894, 227894, 1, 4, 0.000000, 0.100000
169101, 169101, 1, 4, 0.000000, 0.100000
224858, 224858, 1, 4, 0.000000, 0.100000
188809, 188809, 1, 4, 0.000000, 0.100000
6761, 6761, 1, 4, 0.000000, 0.100000
150993, 150993, 1, 4, 0.000000, 0.100000
224581, 224581, 1, 4, 0.000000, 0.100000
55526, 55526, 1, 4, 0.000000, 0.100000
135855, 135855, 1, 4, 0.000000, 0.100000
122511, 122511, 1, 4, 0.000000, 0.100000
193522, 193522, 1, 4, 0.000000, 0.100000
184820, 184820, 1, 4, 0.000000, 0.200000
49372, 49372, 1, 4, 0.000000, 0.200000
16622, 16622, 1, 4, 0.000000, 0.200000
194683, 194683, 1, 4, 0.000000, 0.200000
172947, 172947, 1, 4, 0.000000, 0.200000
245957, 245957, 1, 4, 0.000000, 0.200000
99940, 99940, 1, 4, 0.000000, 0.200000
257918, 257918, 1, 4, 0.000000, 0.200000
222302, 222302, 1, 4, 0.000000, 0.200000
164628, 164628, 1, 4, 0.000000, 0.200000
18251, 18251, 1, 4, 0.000000, 0.200000
172441, 172441, 1, 4, 0.000000, 0.200000
202529, 202529, 1, 4, 0.000000, 0.200000
55284, 55284, 1, 4, 0.000000, 0.300000
85090, 85090, 1, 4, 0.000000, 0.300000
66269, 66269, 1, 4, 0.000000, 0.300000
24788, 24788, 1, 4, 0.000000, 0.300000
133315, 133315, 1, 4, 0.000000, 0.300000
148482, 148482, 1, 4, 0.000000, 0.300000
157375, 157375, 1, 4, 0.000000, 0.300000
124477, 124477, 1, 4, 0.000000, 0.300000
127936, 127936, 1, 4, 0.000000, 0.300000
139658, 139658, 1, 4, 0.000000, 0.300000
61659, 61659, 1, 4, 0.000000, 0.300000
237367, 237367, 1, 4, 0.000000, 0.300000
197339, 197339, 1, 4, 0.000000, 0.400000
191570, 191570, 1, 4, 0.000000, 0.400000
65975, 65975, 1, 4, 0.000000, 0.400000
142728, 142728, 1, 4, 0.000000, 0.400000
213090, 213090, 1, 4, 0.000000, 0.400000
88798, 88798, 1, 4, 0.000000, 0.400000
32695, 32695, 1, 4, 0.000000, 0.400000
72998, 72998, 1, 4, 0.000000, 0.500000
50554, 50554, 1, 4, 0.000000, 0.500000
125690, 125690, 1, 4, 0.000000, 0.500000
78124, 78124, 1, 4, 0.000000, 0.500000
164908, 164908, 1, 4, 0.000000, 0.500000
50205, 50205, 1, 4, 0.000000, 0.500000
210559, 210559, 1, 4, 0.000000, 0.500000
83827, 83827, 1, 4, 0.000000, 0.500000
55842, 55842, 1, 4, 0.000000, 0.500000
147153, 147153, 1, 4, 0.000000, 0.500000
164788, 164788, 1, 4, 0.000000, 0.500000
153605, 153605, 1, 4, 0.000000, 0.500000
190229, 190229, 1, 4, 0.000000, 0.600000
240104, 240104, 1, 4, 0.000000, 0.600000
212330, 212330, 1, 4, 0.000000, 0.600000
240740, 240740, 1, 4, 0.000000, 0.600000
200122, 200122, 1, 4, 0.000000, 0.600000
157336, 157336, 1, 4, 0.000000, 0.600000
219807, 219807, 1, 4, 0.000000, 0.600000
94184, 94184, 1, 4, 0.000000, 0.600000
124308, 124308, 1, 4, 0.000000, 0.600000
224455, 224455, 1, 4, 0.000000, 0.600000
132865, 132865, 1, 4, 0.000000, 0.600000
203888, 203888, 1, 4, 0.000000, 0.700000
251012, 251012, 1, 4, 0.000000, 0.700000
180728, 180728, 1, 4, 0.000000, 0.700000
209358, 209358, 1, 4, 0.000000, 0.700000
154593, 154593, 1, 4, 0.000000, 0.700000
217568, 217568, 1, 4, 0.000000, 0.700000
110962, 110962, 1, 4, 0.000000, 0.700000
125900, 125900, 1, 4, 0.000000, 0.700000
249700, 249700, 1, 4, 0.000000, 0.700000
46165, 46165, 1, 4, 0.000000, 0.800000
213210, 213210, 1, 4, 0.000000, 0.800000
234368, 234368, 1, 4, 0.000000, 0.800000
91146, 91146, 1, 4, 0.000000, 0.800000
173998, 173998, 1, 4, 0.000000, 0.800000
181681, 181681, 1, 4, 0.000000, 0.800000
50524, 50524, 1, 4, 0.000000, 0.800000
30286, 30286, 1, 4, 0.000000, 0.900000
242247, 242247, 1, 4, 0.000000, 0.900000
58507, 58507, 1, 4, 0.000000, 0.900000
170941, 170941, 1, 4, 0.000000, 0.900000
61884, 61884, 1, 4, 0.000000, 0.900000
169814, 169814, 1, 4, 0.000000, 0.900000
150443, 150443, 1, 4, 0.000000, 0.900000
231052, 231052, 1, 4, 0.000000, 0.900000
260484, 260484, 1, 4, 0.000000, 0.900000
23943, 23943, 1, 4, 0.000000, 0.900000
29250, 29250, 1, 4, 0.000000, 0.900000
42838, 42838, 1, 4, 0.000000, 0.900000
196237, 196237, 1, 4, 0.000000, 1.000000
21194, 21194, 1, 4, 0.000000, 1.000000
221485, 221485, 1, 4, 0.000000, 1.000000
185133, 185133, 1, 4, 0.000000, 1.000000
158345, 158345, 1, 4, 0.000000, 1.000000
80858, 80858, 1, 4, 0.000000, 1.000000
38469, 38469, 1, 4, 0.000000, 1.000000
101837, 101837, 1, 4, 0.000000, 1.000000
124420, 124420, 1, 4, 0.000000, 1.100000
136328, 136328, 1, 4, 0.000000, 1.100000
2133, 2133, 1, 4, 0.000000, 1.100000
257743, 257743, 1, 4, 0.000000, 1.100000
40444, 40444, 1, 4, 0.000000, 1.200000
159183, 159183, 1, 4, 0.000000, 1.200000
236455, 236455, 1, 4, 0.000000, 1.200000
172043, 172043, 1, 4, 0.000000, 1.200000
47675, 47675, 1, 4, 0.000000, 1.200000
37510, 37510, 1, 4, 0.000000, 1.200000
237051, 237051, 1, 4, 0.000000, 1.200000
199878, 199878, 1, 4, 0.000000, 1.300000
96354, 96354, 1, 4, 0.000000, 1.300000
114007, 114007, 1, 4, 0.000000, 1.300000
256555, 256555, 1, 4, 0.000000, 1.300000
224924, 224924, 1, 4, 0.000000, 1.300000
167574, 167574, 1, 4, 0.000000, 1.300000
71078, 71078, 1, 4, 0.000000, 1.300000
213763, 213763, 1, 4, 0.000000, 1.400000
231319, 231319, 1, 4, 0.000000, 1.400000
40090, 40090, 1, 4, 0.000000, 1.400000
217004, 217004, 1, 4, 0.000000, 1.400000
198013, 198013, 1, 4, 0.000000, 1.500000
125243, 125243, 1, 4, 0.000000, 1.500000
506, 506, 1, 4, 0.000000, 1.500000
182085, 182085, 1, 4, 0.000000, 1.500000
98099, 98099, 1, 4, 0.000000, 1.600000
130446, 130446, 1, 4, 0.000000, 1.600000
87316, 87316, 1, 4, 0.000000, 1.600000
223554, 223554, 1, 4, 0.000000, 1.600000
203518, 203518, 1, 4, 0.000000, 1.600000
64957, 64957, 1, 4, 0.000000, 1.600000
130752, 130752, 1, 4, 0.000000, 1.700000
60395, 60395, 1, 4, 0.000000, 1.700000
51591, 51591, 1, 4, 0.000000, 1.700000
182253, 182253, 1, 4, 0.000000, 1.700000
116946, 116946, 1, 4, 0.000000, 1.700000
34290, 34290, 1, 4, 0.000000, 1.800000
70672, 70672, 1, 4, 0.000000, 1.800000
68769, 68769, 1, 4, 0.000000, 1.900000
146802, 146802, 1, 4, 0.000000, 1.900000
205216, 205216, 1, 4, 0.000000, 1.900000
29314, 29314, 1, 4, 0.000000, 1.900000
690, 690, 1, 4, 0.000000, 1.900000
214299, 214299, 1, 4, 0.000000, 1.900000
199440, 199440, 1, 4, 0.000000, 2.000000
200631, 200631, 1, 4, 0.000000, 2.000000
37783, 37783, 1, 4, 0.000000, 2.000000
162635, 162635, 1, 4, 0.000000, 2.000000
187037, 187037, 1, 4, 0.000000, 2.100000
12194, 12194, 1, 4, 0.000000, 2.100000
224112, 224112, 1, 4, 0.000000, 2.100000
58409, 58409, 1, 4, 0.000000, 2.100000
256897, 256897, 1, 4, 0.000000, 2.100000
259278, 259278, 1, 4, 0.000000, 2.200000
25800, 25800, 1, 4, 0.000000, 2.200000
252799, 252799, 1, 4, 0.000000, 2.300000
15587, 15587, 1, 4, 0.000000, 2.300000
150063, 150063, 1, 4, 0.000000, 2.300000
34401, 34401, 1, 4, 0.000000, 2.300000
162223, 162223, 1, 4, 0.000000, 2.300000
96006, 96006, 1, 4, 0.000000, 2.300000
183876, 183876, 1, 4, 0.000000, 2.400000
147248, 147248, 1, 4, 0.000000, 2.400000
112210, 112210, 1, 4, 0.000000, 2.400000
141563, 141563, 1, 4, 0.000000, 2.400000
213925, 213925, 1, 4, 0.000000, 2.400000
133114, 133114, 1, 4, 0.000000, 2.400000
100059, 100059, 1, 4, 0.000000, 2.400000
110592, 110592, 1, 4, 0.000000, 2.500000
88754, 88754, 1, 4, 0.000000, 2.500000
257717, 257717, 1, 4, 0.000000, 2.600000
24655, 24655, 1, 4, 0.000000, 2.600000
42761, 42761, 1, 4, 0.000000, 2.600000
251716, 251716, 1, 4, 0.000000, 2.600000
216476, 216476, 1, 4, 0.000000, 2.600000
190412, 190412, 1, 4, 0.000000, 2.700000
166526, 166526, 1, 4, 0.000000, 2.700000
27180, 27180, 1, 4, 0.000000, 2.700000
29918, 29918, 1, 4, 0.000000, 2.999999
30112, 30112, 1, 4, 0.000000, 2.999999
213270, 213270, 1, 4, 0.000000, 2.999999
224630, 224630, 1, 4, 0.000000, 3.199999
117444, 117444, 1, 4, 0.000000, 3.199999
46179, 46179, 1, 4, 0.000000, 3.199999
119400, 119400, 1, 4, 0.000000, 3.199999
73863, 73863, 1, 4, 0.000000, 3.199999
230771, 230771, 1, 4, 0.000000, 3.299999
239046, 239046, 1, 4, 0.000000, 3.299999
124688, 124688, 1, 4, 0.000000, 3.399999
174415, 174415, 1, 4, 0.000000, 3.399999
80228, 80228, 1, 4, 0.000000, 3.399999
158704, 158704, 1, 4, 0.000000, 3.499999
255133, 255133, 1, 4, 0.000000, 3.499999
195800, 195800, 1, 4, 0.000000, 3.599999
108454, 108454, 1, 4, 0.000000, 3.599999
219909, 219909, 1, 4, 0.000000, 3.599999
40798, 40798, 1, 4, 0.000000, 3.699999
103361, 103361, 1, 4, 0.000000, 3.699999
72148, 72148, 1, 4, 0.000000, 3.699999
36064, 36064, 1, 4, 0.000000, 3.899998
235403, 235403, 1, 4, 0.000000, 3.899998
168696, 168696, 1, 4, 0.000000, 3.999998
98304, 98304, 1, 4, 0.000000, 3.999998
104369, 104369, 1, 4, 0.000000, 4.099998
244547, 244547, 1, 4, 0.000000, 4.199998
17071, 17071, 1, 4, 0.000000, 4.199998
44012, 44012, 1, 4, 0.000000, 4.299998
212694, 212694, 1, 4, 0.000000, 4.299998
58238, 58238, 1, 4, 0.000000, 4.399998
138150, 138150, 1, 4, 0.000000, 4.399998
27279, 27279, 1, 4, 0.000000, 4.599998
101332, 101332, 1, 4, 0.000000, 4.799998
239799, 239799, 1, 4, 0.000000, 4.899998
245757, 245757, 1, 4, 0.000000, 4.899998
237665, 237665, 1, 4, 0.000000, 4.999998
106659, 106659, 1, 4, 0.000000, 4.999998
206820, 206820, 1, 4, 0.000000, 5.099998
159717, 159717, 1, 4, 0.000000, 5.299997
35490, 35490, 1, 4, 0.000000, 5.299997
192740, 192740, 1, 4, 0.000000, 5.599997
94340, 94340, 1, 4, 0.000000, 5.799997
50804, 50804, 1, 4, 0.000000, 5.799997
8476, 8476, 1, 4, 0.000000, 5.999997
3067, 3067, 1, 4, 0.000000, 6.099997
184380, 184380, 1, 4, 0.000000, 6.199996
46761, 46761, 1, 4, 0.000000, 6.399996
