sp_id	sp_gq_id	age	sex
936847409	450004087	21	F
936847410	450004087	22	F
936847406	450004087	18	M
936847407	450004087	19	M
936847408	450004087	20	F
936835339	450004088	21	F
936835338	450004088	20	F
936835337	450004088	21	F
936835336	450004088	23	F
936835335	450004088	24	F
936835627	450004088	19	F
936835628	450004088	23	F
936835334	450004088	18	F
936835333	450004088	24	F
936835332	450004088	18	F
936835331	450004088	23	F
936835330	450004088	20	F
936835329	450004088	18	F
936835328	450004088	24	F
936835327	450004088	19	F
936835326	450004088	19	F
936835325	450004088	22	F
936835742	450004088	21	F
936835743	450004088	22	F
936835744	450004088	18	F
936835745	450004088	19	F
936835746	450004088	20	F
936835747	450004088	18	F
936835748	450004088	18	F
936835749	450004088	25	F
936835750	450004088	19	F
936835751	450004088	20	F
936835482	450004088	21	F
936835324	450004088	23	F
936835323	450004088	19	F
936835536	450004088	22	F
936835535	450004088	23	F
936835534	450004088	18	F
936835533	450004088	19	F
936835481	450004088	23	F
936835480	450004088	19	F
936835479	450004088	22	F
936835478	450004088	19	F
936835732	450004088	19	F
936835731	450004088	27	F
936835730	450004088	19	F
936835729	450004088	19	F
936835728	450004088	18	F
936835752	450004088	21	F
936835586	450004088	24	F
936835753	450004088	22	F
936835754	450004088	21	F
936835755	450004088	22	F
936835756	450004088	22	F
936835727	450004088	19	F
936835726	450004088	21	F
936835532	450004088	21	F
936835725	450004088	20	F
936835724	450004088	24	F
936835723	450004088	20	F
936835722	450004088	27	F
936835721	450004088	19	F
936835720	450004088	21	F
936835719	450004088	22	F
936835718	450004088	19	F
936835717	450004088	18	F
936835716	450004088	18	F
936835715	450004088	19	F
936835714	450004088	20	F
936835713	450004088	20	F
936835712	450004088	18	F
936835711	450004088	18	F
936835710	450004088	19	F
936835709	450004088	20	F
936835708	450004088	19	F
936835707	450004088	21	F
936835706	450004088	19	F
936835868	450004088	20	F
936835867	450004088	21	F
936835758	450004088	19	F
936835757	450004088	23	F
936835866	450004088	23	F
936835865	450004088	21	F
936835864	450004088	23	F
936835863	450004088	19	F
936835862	450004088	19	F
936835861	450004088	22	F
936835860	450004088	19	F
936835859	450004088	18	F
936835858	450004088	21	F
936835857	450004088	29	F
936835856	450004088	24	F
936835855	450004088	19	F
936835854	450004088	18	F
936835853	450004088	19	F
936835852	450004088	21	F
936835851	450004088	18	F
936835850	450004088	22	F
936835849	450004088	19	F
936835848	450004088	19	F
936835847	450004088	18	F
936835846	450004088	19	F
936835845	450004088	19	F
936835477	450004088	19	F
936835476	450004088	19	F
936835475	450004088	21	F
936835474	450004088	18	F
936835473	450004088	19	F
936835531	450004088	20	F
936835530	450004088	21	F
936835529	450004088	20	F
936835472	450004088	19	F
936835471	450004088	19	F
936835470	450004088	27	F
