sp_id	latitude	longitude
505003560	30.4407748	-84.3196372
505002705	30.4710243	-84.3031070
505091707	30.5282543	-84.1970970
505003243	30.4220643	-84.3018470
504994962	30.4975743	-84.2460470
505088557	30.5939643	-84.2520070
504996995	30.4685643	-84.2554870
505006862	30.4800143	-84.3515570
505005704	30.5054543	-84.3363970
505001072	30.4633643	-84.2819070
504999793	30.4455543	-84.2803070
504749058	29.2047245	-81.0348580
505001115	30.4734043	-84.2819770
504997234	30.5074943	-84.2536370
505003135	30.4332343	-84.2933970
504998755	30.4680643	-84.2731870
504992478	30.4594213	-84.2302360
505474976	34.0475035	-84.3427768
505000350	30.4372543	-84.2789470
504995111	30.4958543	-84.2405970
504994008	30.4762743	-84.2340570
505000149	30.4544043	-84.2787670
504996475	30.4391644	-84.2571868
505091060	30.5663243	-84.2095870
505000216	30.4517343	-84.2784870
504996271	30.5062543	-84.2448170
504998026	30.4548043	-84.2633970
505085914	30.5327643	-84.4673169
504993202	30.3960643	-84.2300770
505002464	30.4626848	-84.2987070
504673026	28.5048897	-81.3104099
505006042	30.4575643	-84.3454770
505089519	30.5420743	-84.2250670
505003957	30.4587943	-84.3116270
505089767	30.5931343	-84.2253070
504997030	30.4947343	-84.2526270
505005692	30.5075943	-84.3361770
505089124	30.5532523	-84.2215090
504994186	30.5058243	-84.2370170
504992892	30.4770043	-84.2241570
504992010	30.4297343	-84.2115970
505005681	30.4971243	-84.3433670
505006112	30.4540543	-84.3457170
505006877	30.5079143	-84.3545870
505005419	30.3793923	-84.3443900
504995316	30.5061543	-84.2414970
505098528	30.8129842	-83.3080372
505004504	30.0802144	-84.3286370
504992245	30.4313843	-84.2187470
504991344	30.4744943	-84.1649470
505003966	30.4325143	-84.3086770
504670409	28.5040947	-81.3265179
505083145	30.5874263	-84.6211809
504990256	30.4922043	-84.0935870
504995602	30.4444343	-84.2523970
504998102	30.4481143	-84.2601970
505086729	30.5966243	-84.4620769
505008844	30.4906343	-84.6507169
504998304	30.4784343	-84.2652470
505002635	30.4766643	-84.2968770
505004114	30.4577143	-84.3070970
504997078	30.4709143	-84.2582770
504991772	30.5112143	-84.2073470
505089389	30.5303343	-84.2206470
505088786	30.5540943	-84.2519870
504991545	30.4968743	-84.2160870
505093394	30.8336242	-83.9791671
505001880	30.4728443	-84.2911370
505009269	30.4430743	-84.5186969
504990552	30.4862743	-84.1786770
505088850	30.5691043	-84.2527670
504997170	30.5062643	-84.2519170
505086926	30.5302143	-84.4662069
504993381	30.4419323	-84.2340830
505006557	30.2373643	-84.3628870
504993699	30.4353943	-84.2345070
505087101	30.5227743	-84.3718770
504995285	30.4550643	-84.2392170
505088064	30.6718042	-84.2793370
505002074	30.3768443	-84.2915670
505001557	30.4391743	-84.2900170
505006140	30.4450943	-84.3365870
505004357	30.5022443	-84.3034270
505000201	30.4748243	-84.2801270
505092616	30.5764643	-84.1163170
504996112	30.4912843	-84.2448270
504996417	30.4588843	-84.2609440
505085913	30.5327243	-84.4709469
504992156	30.4277043	-84.2138070
504998010	30.4029543	-84.2678270
505003447	30.4491783	-84.3150450
504992210	30.4352043	-84.1942770
504999655	30.4146643	-84.2802870
504998707	30.4216643	-84.2776570
505087739	30.5167443	-84.3583370
505003183	30.4227343	-84.3005270
505088264	30.5529252	-84.2575357
505002692	30.4786943	-84.3037470
505088658	30.5411443	-84.2549270
504991313	30.4457143	-84.1447670
504995201	30.4457543	-84.2426970
504997863	30.4121043	-84.2655870
505093071	30.8591742	-84.0060670
504993032	30.4600643	-84.2294370
504995233	30.4683043	-84.2381470
505090867	30.5263143	-84.2144970
505002584	30.4639143	-84.3034170
504999316	30.4832043	-84.2746670
504999135	30.3847743	-84.2685370
505003221	30.4269043	-84.3028970
505006857	30.4812143	-84.3509570
505089722	30.5970743	-84.2287570
504994365	30.4418713	-84.2417660
505094296	30.8107682	-83.9382001
505006806	30.4647643	-84.3527670
517125362	38.7612943	-77.5343056
504999998	30.4515943	-84.2803470
504995228	30.5002843	-84.2430170
504991236	30.4758543	-84.1427070
505090888	30.5182943	-84.2083770
504991410	30.5150933	-84.2016440
504996905	30.4974643	-84.2513170
504993929	30.4780543	-84.2341570
505002319	30.4862443	-84.2880070
504993010	30.4702943	-84.2232770
505085028	30.5878043	-84.5760169
505004023	30.4435143	-84.3116070
504989547	30.4924853	-84.1136930
505087830	30.5586343	-84.2756170
504995252	30.4741743	-84.2391070
504997134	30.5044443	-84.2579670
505087992	30.5257843	-84.2787270
505002580	30.4603743	-84.2985670
505002863	30.4367543	-84.2947970
505091816	30.5433643	-84.1398470
505001567	30.4356943	-84.2891270
505051434	30.4267644	-87.2408311
505003078	30.3684543	-84.2977570
505089615	30.5229043	-84.2265470
505007676	30.2940443	-84.3776370
504997371	30.4416263	-84.2616890
505001507	30.0596444	-84.2939770
505000236	30.4748243	-84.2801270
505091718	30.5443843	-84.1983570
505085074	30.5819143	-84.5847469
517129049	38.7619623	-77.5095386
504994325	30.3835743	-84.2327570
500561075	33.5094257	-86.7986751
505002646	30.4774243	-84.2959070
505000691	30.4401643	-84.2859770
505087061	30.5282643	-84.3687170
505003845	30.4912943	-84.3123670
505003871	30.4886143	-84.3178070
505088147	30.5871403	-84.2523800
505001916	30.4573843	-84.2895470
505003702	30.4638143	-84.3166070
505009124	30.4421943	-84.4519769
505089091	30.5175243	-84.2625470
505000026	30.4575943	-84.2783570
505001057	30.4657243	-84.2824670
504996632	30.4469543	-84.2556770
504995050	30.4790043	-84.2421670
505090785	30.5368443	-84.2160270
504998100	30.4763043	-84.2605370
504996661	30.4474443	-84.2577370
505088676	30.6213143	-84.2413170
504991840	30.5002543	-84.2045170
505006239	30.4399043	-84.3391970
505002406	30.3234923	-84.2994060
504996799	30.4420743	-84.2525270
504995918	30.4991943	-84.2463670
505005879	30.5007843	-84.3346570
508478967	39.5151371	-76.7253558
505000972	30.4533243	-84.2815670
504992761	30.4364143	-84.2305270
504991300	30.4641343	-84.1750070
505005118	30.4402943	-84.3203870
505007382	30.1763664	-84.3750860
