,sp_id,gq_type,stcotrbg,persons,latitude,longitude
0,450000056,N,120730009013,118,30.456874600000003,-84.2411984
1,450000057,N,120730025053,108,30.477536199999996,-84.2070155
2,450000107,C,120730004002,704,30.42618,-84.289018
3,450000108,C,120730013003,3431,30.443222,-84.30155400000001
4,450004087,C,120730002003,5,30.440597399999998,-84.2798698
5,450004088,C,120730004001,763,30.4269191,-84.2815437
6,450004089,C,120730005001,230,30.4375249,-84.29584100000001
7,450004090,C,120730005002,546,30.438532000000002,-84.2881002
8,450004091,C,120730011013,678,30.416899400000002,-84.2882772
9,450004092,C,120730013002,1726,30.4430315,-84.2961553
10,450004093,C,120730013001,1392,30.441626199999998,-84.2926281
11,450004094,C,120730014012,394,30.450868699999997,-84.3024012
12,450004095,C,120730019021,1,30.4040955,-84.3312661
13,450004096,C,120730020051,254,30.444797700000002,-84.3085893
14,450005880,P,120730019022,27,30.415851500000002,-84.3381384
15,450005881,P,120730019011,43,30.4099355,-84.3053084
16,450005882,P,120730019011,44,30.4085156,-84.30613029999999
17,450005883,P,120730020031,802,30.4374038,-84.3353488
18,450005884,P,120730025093,968,30.445076500000003,-84.2235391
19,450014286,P,120730019022,15,30.4259614,-84.3446787
20,450014287,P,120730020031,119,30.445183500000002,-84.3436839
21,450014288,P,120730021043,3,30.451456800000003,-84.3296499
22,450014289,P,120730025084,24,30.4953712,-84.14326740000001
23,450014290,P,120730025093,70,30.4456885,-84.2217946
24,450014291,P,120730025131,8,30.4506027,-84.1540439
25,450014292,P,120730025131,15,30.4506027,-84.1540439
26,450014293,P,120730026042,38,30.2884981,-84.21028220000001
27,450014294,P,120730026042,17,30.2884981,-84.21028220000001
28,450014295,P,120730026042,7,30.2884981,-84.21028220000001
29,450014296,P,120730026042,1,30.2884981,-84.21028220000001
30,450033310,N,120730009012,66,30.4718489,-84.23563929999999
31,450033311,N,120730009012,63,30.4760773,-84.2406892
32,450033312,N,120730014011,115,30.4568797,-84.3003329
33,450033313,N,120730025051,101,30.4787047,-84.2203374
34,450033314,N,120730025051,101,30.473519,-84.2276193
35,450039216,N,120730025051,94,30.4758441,-84.2246407
36,450040654,N,120730022071,80,30.486190399999998,-84.31473609999999
37,450042735,N,120730020031,60,30.445183500000002,-84.3436839
