,sp_id,sp_gq_id,age,sex
0,936847409,450004087,21,F
1,936847410,450004087,22,F
2,936847406,450004087,18,M
3,936847407,450004087,19,M
4,936847408,450004087,20,F
5,936835339,450004088,21,F
6,936835338,450004088,20,F
7,936835337,450004088,21,F
8,936835336,450004088,23,F
9,936835335,450004088,24,F
10,936835627,450004088,19,F
11,936835628,450004088,23,F
12,936835334,450004088,18,F
13,936835333,450004088,24,F
14,936835332,450004088,18,F
15,936835331,450004088,23,F
16,936835330,450004088,20,F
17,936835329,450004088,18,F
18,936835328,450004088,24,F
19,936835327,450004088,19,F
20,936835326,450004088,19,F
21,936835325,450004088,22,F
22,936835742,450004088,21,F
23,936835743,450004088,22,F
24,936835744,450004088,18,F
25,936835745,450004088,19,F
26,936835746,450004088,20,F
27,936835747,450004088,18,F
28,936835748,450004088,18,F
29,936835749,450004088,25,F
30,936835750,450004088,19,F
31,936835751,450004088,20,F
32,936835482,450004088,21,F
33,936835324,450004088,23,F
34,936835323,450004088,19,F
35,936835536,450004088,22,F
36,936835535,450004088,23,F
37,936835534,450004088,18,F
38,936835533,450004088,19,F
39,936835481,450004088,23,F
40,936835480,450004088,19,F
41,936835479,450004088,22,F
42,936835478,450004088,19,F
43,936835732,450004088,19,F
44,936835731,450004088,27,F
45,936835730,450004088,19,F
46,936835729,450004088,19,F
47,936835728,450004088,18,F
48,936835752,450004088,21,F
49,936835586,450004088,24,F
50,936835753,450004088,22,F
51,936835754,450004088,21,F
52,936835755,450004088,22,F
53,936835756,450004088,22,F
54,936835727,450004088,19,F
55,936835726,450004088,21,F
56,936835532,450004088,21,F
57,936835725,450004088,20,F
58,936835724,450004088,24,F
59,936835723,450004088,20,F
60,936835722,450004088,27,F
61,936835721,450004088,19,F
62,936835720,450004088,21,F
63,936835719,450004088,22,F
64,936835718,450004088,19,F
65,936835717,450004088,18,F
66,936835716,450004088,18,F
67,936835715,450004088,19,F
68,936835714,450004088,20,F
69,936835713,450004088,20,F
70,936835712,450004088,18,F
71,936835711,450004088,18,F
72,936835710,450004088,19,F
73,936835709,450004088,20,F
74,936835708,450004088,19,F
75,936835707,450004088,21,F
76,936835706,450004088,19,F
77,936835868,450004088,20,F
78,936835867,450004088,21,F
79,936835758,450004088,19,F
80,936835757,450004088,23,F
81,936835866,450004088,23,F
82,936835865,450004088,21,F
83,936835864,450004088,23,F
84,936835863,450004088,19,F
85,936835862,450004088,19,F
86,936835861,450004088,22,F
87,936835860,450004088,19,F
88,936835859,450004088,18,F
89,936835858,450004088,21,F
90,936835857,450004088,29,F
91,936835856,450004088,24,F
92,936835855,450004088,19,F
93,936835854,450004088,18,F
94,936835853,450004088,19,F
95,936835852,450004088,21,F
96,936835851,450004088,18,F
97,936835850,450004088,22,F
98,936835849,450004088,19,F
99,936835848,450004088,19,F
100,936835847,450004088,18,F
101,936835846,450004088,19,F
102,936835845,450004088,19,F
103,936835477,450004088,19,F
104,936835476,450004088,19,F
105,936835475,450004088,21,F
106,936835474,450004088,18,F
107,936835473,450004088,19,F
108,936835531,450004088,20,F
109,936835530,450004088,21,F
110,936835529,450004088,20,F
111,936835472,450004088,19,F
112,936835471,450004088,19,F
113,936835470,450004088,27,F
114,936835469,450004088,18,F
115,936835528,450004088,18,F
116,936835527,450004088,19,F
117,936835526,450004088,19,F
118,936835525,450004088,24,F
119,936835524,450004088,21,F
120,936835523,450004088,19,F
121,936835522,450004088,21,F
