OBJECTID,NAME,ADDRESS,AREA_CODE,PHONE,SUITE,ST_NUM,PREFIX,STREET,CLASS,ID,X,Y,FIRE_ID,ZIP_ID,TYPE,SUFFIX,EDITOR,EDIT_DATE,STATE,CITY_ID,POLICE_ID_RMS,EXCLUDE,GLOBALID,SUBCLASS
1,WOMENS CLINIC,2410 MAHAN DR,,656-9177, #01,2410,,MAHAN,MED,10332,-84.23850324,30.45668443,102,32308,DR,,PENCEP,4/6/2020 0:00,FL,TALLAHASSEE,6,,{99F76434-A373-47CF-AEF4-564968A4DB2D},340
2,ALL AMERICAN VAPOR,1373 MAHAN DR,,402-9890,,1373,,MAHAN,COM,11780,-84.26001795,30.44820189,101,32308,DR,,PENCEP,4/7/2020 0:00,FL,TALLAHASSEE,5,,{54D16D2A-9199-4B53-A680-4943204D816C},549
3,BIG BEND CARES,2201 S MONROE ST,,656-2437,,2201,S,MONROE,ORG,9428,-84.28028379,30.41936576,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{C7B96809-F79B-4AED-9DC2-3BF8FE952E17},599
4,AUTO ZONE,2526 S MONROE ST,,656-4283,A,2526,S,MONROE,COM,589,-84.28099507,30.41576839,301,32301,ST,,PENCEP,,FL,TALLAHASSEE,11,,{ADB5671B-2861-483F-9D5D-E3FE1C7DBF6D},579
5,AVIS - BUDGET CAR RENTAL,1414 S MONROE ST,,222-3744,,1414,S,MONROE,COM,602,-84.28098834,30.42977686,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,10,,{A93BFD00-2F68-40A3-9E44-B61C962757E0},
6,,3613 WOODVILLE HWY,,,,3613,,WOODVILLE,COM,2374,-84.27924412,30.39713344,301,32305,HWY,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{2017B69C-AF61-42E8-BAEA-32889D8B1DE9},579
7,TIRE CENTRE,2620 S MONROE ST,,671-4181,,2620,S,MONROE,COM,6850,-84.28096995,30.41337251,301,32301,ST,,PENCEP,2/11/2019 0:00,FL,TALLAHASSEE,11,,{787155F7-9921-4FA0-BC7D-3C9B0D5C0468},
8,CSL PLASMA,2525 S MONROE ST,,583-7797,#18-A,2525,S,MONROE,COM,6528,-84.27879417,30.41517178,202,32303,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{1A7490DE-D630-4F10-9E05-BFE08E0D7D78},341
9,,1512 S MONROE ST,,,,1512,S,MONROE,COM,1401,-84.28085577,30.428214,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,10,,{C1B2416C-5BF4-44B1-BA4E-50AE00B7D211},
10,CAPITAL BUSINESS CENTER & MINI STORAGE,1851 S MONROE ST,,224-4009,,1851,S,MONROE,COM,309,-84.27936231,30.42420508,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{F8E9970D-B710-4DCB-843E-3C2DD80648AB},599
11,DOLLAR GENERAL,2525 S MONROE ST,,,#50,2525,S,MONROE,COM,2825,-84.27877798,30.41494987,202,32303,ST,,PENCEP,10/24/2012 0:00,FL,TALLAHASSEE,7,,{EDF82612-F4A8-4F67-9DC3-75888C9814BD},581
12,EARLEYS KITCHEN,1458 S MONROE ST,,224-7090,,1458,S,MONROE,RST,2044,-84.28095662,30.42866698,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,10,,{020EB061-8759-487D-8730-FCC7E3439726},161
13,EXPRESSIONS MOVEMENT STUDIO,1541 S MONROE ST,,565-9643,,1541,S,MONROE,COM,2047,-84.2802788,30.42758852,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{383FA3AB-5483-493B-9A58-E147A82D89DD},121
14,,3650 WOODVILLE HWY,,,,3650,,WOODVILLE,COM,540,-84.27893192,30.39435433,301,32305,HWY,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,11,,{85269188-7BFE-4CDA-9ED3-8B18190959AC},579
15,,1530 S MONROE ST,,,#2190,1530,S,MONROE,COM,2298,-84.28116771,30.42773387,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,10,,{AAAF0A73-E764-450E-882E-41CA7433A3F3},
16,,1711 S MONROE ST,,224-0239,,1711,S,MONROE,COM,1234,-84.28012998,30.425584,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{B06A9924-9F60-4225-91B9-C859F961BBE6},
17,TYSONS GARAGE,1609 S MONROE ST,,597-9242,,1609,S,MONROE,COM,726,-84.2803263,30.42660851,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{F5BF58D8-8941-49DF-A637-392EDDFFFE42},
18,FAMILY DOLLAR,2526 S MONROE ST,,877-0369,H,2526,S,MONROE,COM,2652,-84.28196342,30.41577482,301,32301,ST,,PENCEP,,FL,TALLAHASSEE,11,,{8FE2C572-F17A-4115-9374-032DDDB8AA3D},581
19,SIMPLY FASHIONS,2525 S MONROE ST,,,#20,2525,S,MONROE,COM,1695,-84.27921058,30.41561623,301,32301,ST,,PENCEP,10/24/2012 0:00,FL,TALLAHASSEE,7,,{2401FD36-F13A-477B-B858-84424A96DF28},
20,,3611 WOODVILLE HWY,,,A,3611,,WOODVILLE,COM,963,-84.27924787,30.3977307,301,32305,HWY,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{CEE9444F-4A64-434B-8D32-661F0781A99A},599
21,,1606 S MONROE ST,,224-5417,,1606,S,MONROE,COM,2079,-84.28084604,30.42688412,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,10,,{BC484C03-9A81-48AC-9F45-43A1796DB2A7},
22,SUPERIOR CLEANERS,1413 S MONROE ST,,222-0652,,1413,S,MONROE,COM,1850,-84.28022871,30.43011493,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{79401FA3-C686-46E5-8CA3-D41A5D264ED2},564
23,CARE POINT,2200 S MONROE ST,,,,2200,S,MONROE,MED,2546,-84.28093362,30.41957833,301,32301,ST,,PENCEP,5/31/2017 0:00,FL,TALLAHASSEE,11,,{257E861E-6BA4-42C2-B726-E4A9E95A08E4},341
24,ADVANCE DISCOUNT AUTO PARTS,2135 S MONROE ST,,878-9914,,2135,S,MONROE,COM,167,-84.2800645,30.42039341,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{A493899D-0F6D-447F-B803-87E077005945},579
25,GARY MOUTLON AUTO CENTER,1430 S MONROE ST,,222-8804,,1430,S,MONROE,COM,3348,-84.28138968,30.42915708,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,10,,{6ABD892E-0EEF-425E-BD8D-5AA2D8A58A4D},579
26,UNITED INSURANCE,1839 S MONROE ST,,385-5184,A,1839,S,MONROE,COM,5080,-84.28028819,30.42455869,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{BB3CE6D1-EEDE-4529-B58D-744C830BFC57},599
27,TRADESMEN INTERNATIONAL,1839 S MONROE ST,,222-8232,C,1839,S,MONROE,COM,6606,-84.28028819,30.42455869,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{7879AD52-13E1-4919-89D8-8F9D7EC93FC8},599
28,NAIL LAND,2526 S MONROE ST,,727-5710,G,2526,S,MONROE,COM,6609,-84.28174083,30.41576481,301,32301,ST,,PENCEP,2/18/2015 0:00,FL,TALLAHASSEE,11,,{27640A11-2EBC-416A-8AC0-5D4096EF1602},557
29,NEW LIFE UNITED METHODIST CHURCH,2821 S MONROE ST,,877-4823,,2821,S,MONROE,REL,7696,-84.28006878,30.4091525,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,7,,{587A1D71-B004-44F8-A08C-5532D85D5990},131
30,GRACES WIGS,2547 S ADAMS ST,,877-0707,,2547,S,ADAMS,COM,10469,-84.28133231,30.41483105,301,32301,ST,,PENCEP,4/1/2020 0:00,FL,TALLAHASSEE,11,,{437DE8B1-0CB5-4095-B2B7-4D1FBA1ABFBE},
