x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.65662,0.28776,0.15084,0.11755,0.205,0.33302,0.41476,0.36795,0.27276,0.20209,0.24961,0.22774,0.1737,0.14673,0.10352,0.05079
0.327,1.2469,0.46811,0.13699,0.11968,0.25266,0.33242,0.38177,0.35354,0.17768,0.14539,0.16464,0.17569,0.1287,0.06866,0.05287
0.1166,0.62755,2.27389,0.37496,0.25584,0.23015,0.28631,0.35395,0.44746,0.29734,0.19962,0.13565,0.10938,0.11107,0.0887,0.07959
0.06744,0.21494,1.02448,3.24132,0.80949,0.40274,0.27487,0.34024,0.38146,0.35486,0.16372,0.08885,0.07482,0.06687,0.04486,0.03106
0.08113,0.10461,0.15977,1.08541,1.81073,0.76138,0.48623,0.3339,0.28428,0.34678,0.21522,0.15576,0.072,0.05432,0.06691,0.05497
0.14735,0.07755,0.07152,0.29495,0.85004,1.15385,0.70706,0.48949,0.3583,0.33933,0.29313,0.17176,0.07775,0.05689,0.0401,0.02108
0.14887,0.10712,0.16668,0.14017,0.38286,0.59875,0.80926,0.59735,0.41152,0.32889,0.34092,0.26889,0.1414,0.10134,0.05746,0.05569
0.13284,0.15852,0.12232,0.09552,0.23472,0.43822,0.59104,0.74445,0.56827,0.38151,0.26578,0.2302,0.22712,0.15617,0.10362,0.04277
0.1011,0.13282,0.21315,0.14441,0.26741,0.34155,0.50805,0.56756,0.67393,0.4293,0.30104,0.15475,0.16841,0.11758,0.10075,0.04437
0.03448,0.05738,0.07657,0.15401,0.2184,0.28838,0.38113,0.44017,0.46231,0.49567,0.39418,0.19722,0.16114,0.10495,0.10535,0.08485
0.05682,0.10797,0.12555,0.19684,0.37085,0.50076,0.39549,0.39661,0.49132,0.57411,0.4609,0.39909,0.27863,0.15139,0.11239,0.07903
0.09148,0.08241,0.09082,0.11368,0.29368,0.52659,0.58808,0.50446,0.53976,0.39792,0.59678,0.60895,0.45294,0.25149,0.15699,0.08891
0.07599,0.08413,0.07417,0.12428,0.27023,0.44237,0.49201,0.60967,0.57556,0.48754,0.45091,0.61074,0.61021,0.44258,0.34961,0.15302
0.07248,0.09702,0.06315,0.07012,0.21117,0.35085,0.47863,0.44347,0.46212,0.38437,0.43412,0.51379,0.55975,0.48506,0.28946,0.18015
0.02678,0.05749,0.08484,0.16699,0.15975,0.2478,0.27505,0.3958,0.50734,0.40001,0.33432,0.36492,0.68991,0.61844,0.64203,0.24413
0.03447,0.03551,0.05373,0.0313,0.07068,0.10039,0.20543,0.17047,0.17803,0.23096,0.17214,0.18156,0.19739,0.26176,0.25678,0.18171
