x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
0.43233,0.4173,0.23764,0.11298,0.18144,0.31301,0.40922,0.36274,0.16191,0.064,0.0685,0.04768,0.03475,0.01452,0.00625,0.00812
0.28917,0.66715,0.40778,0.16001,0.05288,0.19827,0.39296,0.43384,0.31851,0.11398,0.05827,0.05135,0.03258,0.01771,0.0085,0.00742
0.21202,0.50376,1.19342,0.39798,0.0779,0.06352,0.17588,0.38251,0.45197,0.19919,0.07907,0.0307,0.01994,0.02089,0.0145,0.00742
0.12468,0.20884,0.45479,0.97722,0.20881,0.06971,0.04701,0.21347,0.35682,0.32926,0.17435,0.05694,0.02625,0.01693,0.00816,0.00611
0.19584,0.10044,0.1028,0.33422,0.82306,0.21529,0.05355,0.02531,0.11159,0.25638,0.16687,0.08125,0.02086,0.00648,0.00507,0.00569
0.47952,0.2061,0.07094,0.10867,0.24501,0.72763,0.18586,0.03896,0.02048,0.07499,0.15721,0.09135,0.04448,0.01386,0.00247,0.00655
0.54994,0.61455,0.32378,0.06599,0.08387,0.2209,0.62523,0.19507,0.07121,0.02533,0.04898,0.0629,0.05666,0.01415,0.00835,0.00488
0.56421,0.83518,0.68061,0.28307,0.04834,0.06228,0.16842,0.62822,0.15765,0.04579,0.0355,0.0303,0.04729,0.03084,0.01504,0.00456
0.39736,0.69784,0.78743,0.5264,0.14561,0.05695,0.11037,0.19062,0.56488,0.1473,0.05405,0.01308,0.03853,0.04028,0.01556,0.00964
0.28145,0.52853,0.64728,0.7458,0.40136,0.13959,0.05809,0.12435,0.18717,0.60842,0.17903,0.04449,0.02502,0.01945,0.01556,0.02382
0.5156,0.43311,0.59143,0.60791,0.50863,0.35294,0.17353,0.09026,0.13064,0.21733,0.57633,0.18886,0.05068,0.0198,0.01784,0.03366
0.94435,0.92336,0.5242,0.61007,0.45749,0.55918,0.44709,0.17738,0.08907,0.20133,0.3333,0.6807,0.20408,0.08074,0.01635,0.03155
1.24256,1.13671,0.66265,0.55882,0.351,0.45168,0.53791,0.41828,0.22425,0.11501,0.22981,0.32999,0.68441,0.19061,0.04538,0.01087
0.96664,1.36583,1.03951,0.50758,0.36514,0.38808,0.60576,0.67207,0.54298,0.18906,0.22268,0.25361,0.27137,0.67346,0.14097,0.0284
0.50571,1.34257,0.96729,0.72414,0.14837,0.35061,0.28586,0.59889,0.54294,0.396,0.29636,0.1524,0.24244,0.24578,0.4571,0.15237
0.39643,0.51264,0.66357,0.51034,0.14041,0.11291,0.15268,0.29502,0.29124,0.2812,0.32985,0.14385,0.06398,0.11303,0.08125,0.12063
