x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
1.58319,0.90891,0.42761,0.26959,0.39775,0.65259,0.84073,0.74319,0.44055,0.27302,0.3215,0.27798,0.20885,0.16144,0.10977,0.05891
0.87125,7.75943,1.22394,0.33238,0.20946,0.45866,0.74321,0.83278,0.68885,0.3035,0.21215,0.21894,0.20963,0.14676,0.07723,0.06029
0.33089,2.48256,11.86116,1.01199,0.35899,0.29999,0.47366,0.75507,0.91904,0.51174,0.28774,0.17144,0.13084,0.13215,0.1032,0.08705
0.20464,0.47698,3.87488,11.89051,1.34351,0.61057,0.45762,0.68647,0.8825,0.80721,0.41366,0.18878,0.1198,0.08896,0.05311,0.03717
0.29217,0.23456,0.27508,2.55261,3.73969,1.60425,1.0646,0.93814,0.83663,0.96978,0.68509,0.40077,0.19582,0.07443,0.073,0.06094
0.62899,0.29442,0.14601,0.55606,1.74499,2.9279,1.63574,1.25426,1.05698,0.90608,0.8891,0.50171,0.25936,0.09333,0.04342,0.02812
0.70471,0.78532,0.53499,0.30556,0.90347,1.52844,2.36003,1.60275,1.21735,0.97221,0.7967,0.60877,0.32672,0.13826,0.06612,0.06083
0.70711,1.032,0.8326,0.53845,0.64137,1.16419,1.47213,2.35309,1.69032,1.11546,0.84569,0.51523,0.36507,0.20444,0.11935,0.04779
0.50173,0.85291,1.01926,0.8324,0.8366,1.05959,1.39793,1.59287,2.27503,1.43343,1.02728,0.44083,0.342,0.17791,0.11709,0.05499
0.34321,0.63558,0.75787,1.13074,0.91804,0.94242,1.10109,1.29071,1.40804,1.86698,1.1105,0.56177,0.2971,0.14711,0.12172,0.10913
0.5786,0.61069,0.80876,0.99061,1.14504,1.4066,1.21617,1.16041,1.54299,1.71136,1.7967,1.0198,0.47121,0.18686,0.13109,0.11343
1.05703,1.07862,0.68141,0.87078,0.96763,1.48592,1.58545,1.20252,1.3013,1.1468,1.48296,1.69689,0.81933,0.34866,0.17394,0.12105
1.33003,1.23785,0.7459,0.74433,0.79868,1.2035,1.3729,1.43706,1.2409,1.04839,1.05196,1.27584,1.41087,0.65504,0.39543,0.16468
1.03952,1.46969,1.10538,0.59103,0.61937,0.84806,1.18697,1.15697,1.09809,0.657,0.75946,0.83488,0.87786,1.16673,0.43311,0.20877
0.53249,1.40006,1.05213,0.89348,0.30936,0.60001,0.56361,0.99926,1.05456,0.80257,0.63927,0.5246,0.93528,0.86613,1.10073,0.40081
0.4309,0.55237,0.7173,0.54588,0.21454,0.21836,0.36166,0.47187,0.47138,0.51294,0.50276,0.32541,0.26137,0.37498,0.33803,0.30234
