Label,United States!!Total!!Estimate,US Population,"Leon County, Florida!!Total!!Estimate",Leon Population
Age,"303,965,272",US Population,"270,409",Leon Population
0:4,6.60%,20061708,5.60%,15143
5:9,6.60%,20061708,5.50%,14872
10:14,6.80%,20669638,5.20%,14061
15:19,7.30%,22189465,10.00%,27041
20:24,7.00%,21277569,16.70%,45158
25:29,6.80%,20669638,7.90%,21362
30:34,6.40%,19453777,6.00%,16225
35:39,6.80%,20669638,5.70%,15413
40:44,7.10%,21581534,5.70%,15413
45:49,7.50%,22797395,6.30%,17036
50:54,7.10%,21581534,6.30%,17036
55:59,6.20%,18845847,5.80%,15684
60:64,5.10%,15502229,4.50%,12168
65:69,3.80%,11550680,3.00%,8112
70:74,3.00%,9118958,1.90%,5138
75:100,2.40%,7295167,1.70%,4597
