"Label","United States!!Total!!Estimate","United States!!Percent!!Estimate","United States!!In public school!!Estimate","United States!!Percent in public school!!Estimate","United States!!In private school!!Estimate","United States!!Percent in private school!!Estimate","Leon County, Florida!!Total!!Estimate","Leon County, Florida!!Percent!!Estimate","Leon County, Florida!!In public school!!Estimate","Leon County, Florida!!Percent in public school!!Estimate","Leon County, Florida!!In private school!!Estimate","Leon County, Florida!!Percent in private school!!Estimate"
"Population 3 years and over enrolled in school","81,415,106","(X)","(X)","83.8%","(X)","16.2%","104,443","(X)","(X)","87.6%","(X)","12.4%"
"    Nursery school, preschool","4,947,516","6.1%","2,918,752","59.0%","2,028,764","41.0%","4,654","4.5%","1,932","41.5%","2,722","58.5%"
"    Kindergarten to 12th grade","53,896,693","66.2%","48,302,379","89.6%","5,594,314","10.4%","40,663","38.9%","33,819","83.2%","6,844","16.8%"
"        Kindergarten","4,083,735","5.0%","3,579,912","87.7%","503,823","12.3%","3,051","2.9%","2,601","85.3%","450","14.7%"
"        Elementary: grade 1 to grade 4","16,263,019","20.0%","14,576,325","89.6%","1,686,694","10.4%","12,086","11.6%","10,093","83.5%","1,993","16.5%"
"        Elementary: grade 5 to grade 8","16,544,964","20.3%","14,808,792","89.5%","1,736,172","10.5%","12,748","12.2%","10,201","80.0%","2,547","20.0%"
"        High school: grade 9 to grade 12","17,004,975","20.9%","15,337,350","90.2%","1,667,625","9.8%","12,778","12.2%","10,924","85.5%","1,854","14.5%"
"    College, undergraduate","18,392,346","22.6%","14,481,060","78.7%","3,911,286","21.3%","49,022","46.9%","46,584","95.0%","2,438","5.0%"
"    Graduate, professional school","4,178,551","5.1%","2,490,362","59.6%","1,688,189","40.4%","10,104","9.7%","9,120","90.3%","984","9.7%"
"Population enrolled in college or graduate school","22,570,897","27.7%","16,971,422","75.2%","5,599,475","24.8%","59,126","56.6%","55,704","94.2%","3,422","5.8%"
"    Males enrolled in college or graduate school","10,131,060","25.1%","7,702,158","76.0%","2,428,902","24.0%","26,929","54.1%","25,442","94.5%","1,487","5.5%"
"    Females enrolled in college or graduate school","12,439,837","30.3%","9,269,264","74.5%","3,170,573","25.5%","32,197","58.9%","30,262","94.0%","1,935","6.0%"
"Population 3 to 4 years","8,164,659","(X)","(X)","(X)","(X)","(X)","5,649","(X)","(X)","(X)","(X)","(X)"
"    3 to 4 year olds enrolled in school","3,913,159","47.9%","2,272,975","58.1%","1,640,184","41.9%","3,646","64.5%","1,594","43.7%","2,052","56.3%"
"Population 5 to 9 years","20,311,494","(X)","(X)","(X)","(X)","(X)","14,656","(X)","(X)","(X)","(X)","(X)"
"    5 to 9 year olds enrolled in school","19,402,258","95.5%","17,034,609","87.8%","2,367,649","12.2%","14,362","98.0%","11,561","80.5%","2,801","19.5%"
"Population 10 to 14 years","20,817,419","(X)","(X)","(X)","(X)","(X)","15,211","(X)","(X)","(X)","(X)","(X)"
"    10 to 14 year olds enrolled in school","20,450,083","98.2%","18,328,137","89.6%","2,121,946","10.4%","15,098","99.3%","12,155","80.5%","2,943","19.5%"
"Population 15 to 17","12,587,477","(X)","(X)","(X)","(X)","(X)","9,190","(X)","(X)","(X)","(X)","(X)"
"    15 to 17 year olds enrolled in school","12,185,795","96.8%","10,985,351","90.1%","1,200,444","9.9%","8,879","96.6%","7,536","84.9%","1,343","15.1%"
"Population 18 to 19 years","8,616,749","(X)","(X)","(X)","(X)","(X)","16,711","(X)","(X)","(X)","(X)","(X)"
"    18 and 19 year olds enrolled in school","6,502,713","75.5%","5,326,600","81.9%","1,176,113","18.1%","14,972","89.6%","14,487","96.8%","485","3.2%"
"Population 20 to 24 years","22,286,970","(X)","(X)","(X)","(X)","(X)","47,346","(X)","(X)","(X)","(X)","(X)"
"    20 to 24 year olds enrolled in school","9,252,479","41.5%","7,203,412","77.9%","2,049,067","22.1%","32,649","69.0%","31,422","96.2%","1,227","3.8%"
"Population 25 to 34 years","44,567,976","(X)","(X)","(X)","(X)","(X)","41,665","(X)","(X)","(X)","(X)","(X)"
"    25 to 34 year olds enrolled in school","5,394,456","12.1%","3,999,031","74.1%","1,395,425","25.9%","9,897","23.8%","8,842","89.3%","1,055","10.7%"
"Population 35 years and over","173,878,095","(X)","(X)","(X)","(X)","(X)","128,366","(X)","(X)","(X)","(X)","(X)"
"    35 years and over enrolled in school","4,314,163","2.5%","3,042,438","70.5%","1,271,725","29.5%","4,940","3.8%","3,858","78.1%","1,082","21.9%"
"Population 18 to 24 years","30,903,719","(X)","(X)","(X)","(X)","(X)","64,057","(X)","(X)","(X)","(X)","(X)"
"    Enrolled in college or graduate school","13,152,077","42.6%","10,188,413","77.5%","2,963,664","22.5%","44,789","69.9%","43,451","97.0%","1,338","3.0%"
"    Males 18 to 24 years","15,846,667","(X)","(X)","(X)","(X)","(X)","29,692","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","6,102,593","38.5%","4,791,643","78.5%","1,310,950","21.5%","20,199","68.0%","19,501","96.5%","698","3.5%"
"    Females 18 to 24 years","15,057,052","(X)","(X)","(X)","(X)","(X)","34,365","(X)","(X)","(X)","(X)","(X)"
"        Enrolled in college or graduate school","7,049,484","46.8%","5,396,770","76.6%","1,652,714","23.4%","24,590","71.6%","23,950","97.4%","640","2.6%"
