"Label","United States!!Total!!Estimate","United States!!Percent of enrolled population !!In public school!!Estimate","United States!!Percent of enrolled population !!In private school!!Estimate","Leon County, Florida!!Total!!Estimate","Leon County, Florida!!Percent of enrolled population !!In public school!!Estimate","Leon County, Florida!!Percent of enrolled population !!In private school!!Estimate"
"Population 3 years and over enrolled in school","80,939,002","83.2%","16.8%","103,846","87.7%","12.3%"
"Nursery school, preschool","4,924,145","54.7%","45.3%","5,260","43.9%","56.1%"
"Kindergarten to 12th grade","54,224,838","89.5%","10.5%","38,794","83.5%","16.5%"
"    Kindergarten","4,113,849","86.7%","13.3%","3,151","73.8%","26.2%"
"    Elementary: grade 1 to grade 4","16,091,724","89.2%","10.8%","11,771","84.4%","15.6%"
"    Elementary: grade 5 to grade 8","16,487,084","89.4%","10.6%","11,989","82.5%","17.5%"
"    High school: grade 9 to grade 12","17,532,181","90.5%","9.5%","11,883","86.2%","13.8%"
"College, undergraduate","17,941,769","77.1%","22.9%","51,463","94.5%","5.5%"
"Graduate, professional school","3,848,250","58.8%","41.2%","8,329","92.8%","7.2%"
"Percent of age group enrolled in school --","","","","","",""
"    3 and 4 years","47.8%","54.2%","45.8%","62.8%","43.7%","56.3%"
"    5 to 9 years","95.4%","86.8%","13.2%","96.2%","78.1%","21.9%"
"    10 to 14 years","98.3%","89.5%","10.5%","99.6%","82.9%","17.1%"
"    15 to 17 years","95.9%","90.5%","9.5%","96.2%","87.4%","12.6%"
"    18 and 19 years","73.2%","80.8%","19.2%","91.0%","94.1%","5.9%"
"    20 to 24 years","41.0%","76.5%","23.5%","72.7%","95.9%","4.1%"
"    25 to 34 years","12.9%","73.2%","26.8%","24.8%","89.9%","10.1%"
"    35 years and over","2.8%","71.3%","28.7%","3.6%","85.3%","14.7%"
"Population 18 years and over","229,932,155","(X)","(X)","217,061","(X)","(X)"
"Enrolled in college or graduate school","9.4%","73.8%","26.2%","27.4%","94.3%","5.7%"
"    Males 18 years and over","111,508,222","(X)","(X)","101,617","(X)","(X)"
"Enrolled in college or graduate school","8.5%","74.1%","25.9%","26.9%","95.3%","4.7%"
"    Females 18 years and over","118,423,933","(X)","(X)","115,444","(X)","(X)"
"Enrolled in college or graduate school","10.3%","73.6%","26.4%","27.9%","93.4%","6.6%"
"Population 18 to 24 years","30,205,496","(X)","(X)","62,912","(X)","(X)"
"Enrolled in college or graduate school","41.5%","75.6%","24.4%","74.0%","95.9%","4.1%"
"    Males 18 to 24 years","15,469,931","(X)","(X)","29,386","(X)","(X)"
"Enrolled in college or graduate school","37.3%","76.5%","23.5%","73.7%","96.5%","3.5%"
"    Females 18 to 24 years","14,735,565","(X)","(X)","33,526","(X)","(X)"
"Enrolled in college or graduate school","45.9%","74.9%","25.1%","74.2%","95.5%","4.5%"
"PERCENT IMPUTED","","","","","",""
"    School enrollment","3.0%","(X)","(X)","2.9%","(X)","(X)"
"    Grade enrolled","5.0%","(X)","(X)","4.1%","(X)","(X)"
