OBJECTID,ZIP,OBJECTID_1,DEPCODE,COUNTYNAME,FieldMatch,POName,Places,OBJECTID_12,ZIPX,c_places,Cases_1,LabelY,SHAPE_Length,SHAPE_Area
1,41,44,6,Broward,Broward-00041,NONE,Area is in the South Florida Water Conservation Area 3A,,,,0,0,1.922296686,0.186601374
2,42,49,5,Brevard,Brevard-00042,NONE,Area is part of a federally protected nature area,,,,0,0,1.654540265,0.041179325
3,45,55,42,Marion,Marion-00045,NONE,Area is part of the Wakulla National Forest ,,,,0,0,0.714285319,0.025202354
4,53,58,50,Palm Beach,Palm Beach-00053,NONE,Area is part of the Loxahatchee National Wildlife Refuge,,,,0,0,2.550791043,0.165590057
5,87,60,31,Indian River,Indian River-00067,NONE,Area is part of the Stick Marsh-- St. Johns Water Management Area,,,,0,0,0.8227911,0.023165191
6,97,64,44,Monroe,Monroe-00097,NONE,Area is part of the Everglades National Park,,,,0,0,6.431164427,0.124287368
7,98,66,44,Monroe,Monroe-00098,NONE,Area is part of the Everglades National Park,,,,0,0,9.085751564,0.081449673
8,32003,67,10,Clay,Clay-32003,Fleming Island,"Orange Park, Fleming Island, Lakeside",171,Clay-32003,"Fleming Island, Green Cove Springs, Middleburg, Orange Park",2256,2256,0.312121021,0.005579939
9,32008,71,15,Dixie,Dixie-32008,Branford,Branford,295,Dixie-32008,,0,0,0.357111732,0.001832333
10,32008,72,21,Gilchrist,Gilchrist-32008,Branford,"Hollingsworth Bluff, Sandy Point",375,Gilchrist-32008,Branford,<5,-2,0.676627693,0.008403854
11,32008,73,34,Lafayette,Lafayette-32008,Branford,"Brandford, Grady, Midway",506,Lafayette-32008,Branford,20,20,0.891320969,0.016509044
12,32008,74,61,Suwannee,Suwannee-32008,Branford,"Branford, Grady",1048,Suwannee-32008,Branford,420,420,0.7777879,0.009829659
13,32009,78,45,Nassau,Nassau-32009,Bryceville,"Jacksonville, Bryceville, Mattox",683,Nassau-32009,Bryceville,286,286,0.82159122,0.02181729
14,32011,80,45,Nassau,Nassau-32011,Callahan,"Callahan, Hilliard, Jacksonville, Nassau Village-Ratliff",684,Nassau-32011,Callahan,1557,1557,1.467053273,0.038643749
15,32013,81,34,Lafayette,Lafayette-32013,Day,"Day, Townsend, Dell, Dowling Park",507,Lafayette-32013,Day,9,9,0.455994612,0.008758293
16,32024,85,12,Columbia,Columbia-32024,Lake City,"Lake City, Bass, Columbia",202,Columbia-32024,Lake City,1733,1733,1.17943514,0.029529225
17,32024,86,61,Suwannee,Suwannee-32024,Lake City,"Lake City, Wellborn",1049,Suwannee-32024,Lake City,14,14,0.65226502,0.006098469
18,32025,89,12,Columbia,Columbia-32025,Lake City,"Lake City, Watertown",203,Columbia-32025,Lake City,3457,3457,1.171861344,0.026739411
19,32033,92,55,St. Johns,St. Johns-32033,Elkton,Elkton,1008,St. Johns-32033,"Armstrong, Elkton, Saint Augustine",291,291,0.62846793,0.018723496
20,32034,95,45,Nassau,Nassau-32034,Fernandina Beach,"Fernandina Beach, Jacksonville, Yulee",685,Nassau-32034,"Amelia City, Fernandina, Fernandina Beach",2656,2656,1.062240411,0.020139891
21,32038,97,12,Columbia,Columbia-32038,Fort White,Fort White,204,Columbia-32038,Fort White,629,629,0.954634629,0.025217313
22,32040,101,2,Baker,Baker-32040,Glen Saint Mary,Glen St. Mary,23,Baker-32040,Glen Saint Mary,740,740,1.656195751,0.033379181
23,32043,106,10,Clay,Clay-32043,Green Cove Springs,"Green Cove Springs, Penney Farms, Asbury Lake, Fleming Island, Middleburg",172,Clay-32043,"Green Cove Springs, Middleburg",2629,2629,1.134714819,0.050857179
24,32043,107,54,Putnam,Putnam-32043,Green Cove Springs,West Tocoi,940,Putnam-32043,,0,0,0.514374831,0.001511521
25,32044,109,1,Alachua,Alachua-32044,Hampton,Louise,1,Alachua-32044,,0,0,0.197708734,0.000311392
26,32044,110,4,Bradford,Bradford-32044,Hampton,Hampton,41,Bradford-32044,Hampton,125,125,0.567488232,0.005607237
27,32046,112,45,Nassau,Nassau-32046,Hilliard,Hilliard,686,Nassau-32046,Hilliard,1051,1051,1.68648492,0.04953741
28,32052,114,24,Hamilton,Hamilton-32052,Jasper,"Jasper, Marion, Hillcoast, Adams",387,Hamilton-32052,Jasper,1012,1012,2.168676312,0.085877532
29,32053,118,24,Hamilton,Hamilton-32053,Jennings,Jennings,388,Hamilton-32053,Jennings,311,311,0.926754389,0.02680895
30,32054,121,4,Bradford,Bradford-32054,Lake Butler,Worthington Springs,42,Bradford-32054,Lake Butler,6,6,0.476128238,0.002663617
31,32054,123,63,Union,Union-32054,Lake Butler,"Lake Butler, Worthington Springs",1062,Union-32054,Lake Butler,1353,1353,1.120364621,0.050097478
32,32055,126,12,Columbia,Columbia-32055,Lake City,"Lake City, Five Points, Watertown",205,Columbia-32055,Lake City,1742,1742,2.008360561,0.095865866
33,32058,130,4,Bradford,Bradford-32058,Lawtey,Lawtey,43,Bradford-32058,Lawtey,658,658,0.642498535,0.01493361
34,32058,131,10,Clay,Clay-32058,Lawtey,Lawtey,173,Clay-32058,,0,0,0.32896553,0.000438824
35,32058,132,63,Union,Union-32058,Lawtey,Lawtey,1063,Union-32058,Lawtey,<5,-2,0.149375474,0.000655235
36,32059,134,40,Madison,Madison-32059,Lee,Lee,603,Madison-32059,Lee,230,230,1.116219479,0.028662554
37,32060,139,61,Suwannee,Suwannee-32060,Live Oak,Live Oak,1050,Suwannee-32060,"Dowling Park, Live Oak",3108,3108,2.301600897,0.095978358
38,32061,140,12,Columbia,Columbia-32061,Lulu,Lulu,206,Columbia-32061,Lulu,31,31,0.452216037,0.003139723
39,32062,142,61,Suwannee,Suwannee-32062,Mc Alpin,Mc Alpin,1051,Suwannee-32062,Mcalpin,188,188,1.094179089,0.017454597
