OBJECTID,ZIP,OBJECTID_1,DEPCODE,COUNTYNAME,FieldMatch,POName,Places,OBJECTID_12,ZIPX,c_places,Cases_1,LabelY,Shape__Area,Shape__Length
1,00041,44,6,Broward,Broward-00041,NONE,Area is in the South Florida Water Conservation Area 3A,,,,0,0,0.186601374149632,1.92229668636402
2,00042,49,5,Brevard,Brevard-00042,NONE,Area is part of a federally protected nature area,,,,0,0,0.0411793250675601,1.65454026415273
3,00045,55,42,Marion,Marion-00045,NONE,Area is part of the Wakulla National Forest ,,,,0,0,0.0252023544655913,0.714285319543539
4,00053,58,50,Palm Beach,Palm Beach-00053,NONE,Area is part of the Loxahatchee National Wildlife Refuge,,,,0,0,0.165590057094505,2.55079104321085
5,00087,60,31,Indian River,Indian River-00067,NONE,Area is part of the Stick Marsh-- St. Johns Water Management Area,,,,0,0,0.0231651908516142,0.822791100135435
6,00097,64,44,Monroe,Monroe-00097,NONE,Area is part of the Everglades National Park,,,,0,0,0.124287367840452,6.43116442585641
7,00098,66,44,Monroe,Monroe-00098,NONE,Area is part of the Everglades National Park,,,,0,0,0.0814496727870164,9.0857515641848
8,32003,67,10,Clay,Clay-32003,Fleming Island,"Orange Park, Fleming Island, Lakeside",171,Clay-32003,"Fleming Island, Green Cove Springs, Middleburg, Orange Park",202,202,0.00557993903771603,0.312121019549633
9,32008,71,15,Dixie,Dixie-32008,Branford,Branford,295,Dixie-32008,,0,0,0.00183233296615981,0.357111733369989
10,32008,72,21,Gilchrist,Gilchrist-32008,Branford,"Hollingsworth Bluff, Sandy Point",375,Gilchrist-32008,,0,0,0.00840385376727681,0.676627691713862
11,32008,73,34,Lafayette,Lafayette-32008,Branford,"Brandford, Grady, Midway",506,Lafayette-32008,Branford,<5,-2,0.0165090437517392,0.891320972075004
12,32008,74,61,Suwannee,Suwannee-32008,Branford,"Branford, Grady",1048,Suwannee-32008,Branford,26,26,0.00982965856042028,0.777787902539025
13,32009,78,45,Nassau,Nassau-32009,Bryceville,"Jacksonville, Bryceville, Mattox",683,Nassau-32009,Bryceville,14,14,0.0218172896541091,0.821591215708184
14,32011,80,45,Nassau,Nassau-32011,Callahan,"Callahan, Hilliard, Jacksonville, Nassau Village-Ratliff",684,Nassau-32011,Callahan,92,92,0.0386437494603342,1.46705327220997
15,32013,81,34,Lafayette,Lafayette-32013,Day,"Day, Townsend, Dell, Dowling Park",507,Lafayette-32013,,0,0,0.00875829309779874,0.455994612318474
16,32024,85,12,Columbia,Columbia-32024,Lake City,"Lake City, Bass, Columbia",202,Columbia-32024,Lake City,107,107,0.0295292247153611,1.17943513788214
17,32024,86,61,Suwannee,Suwannee-32024,Lake City,"Lake City, Wellborn",1049,Suwannee-32024,Lake City,<5,-2,0.00609846901397759,0.652265018840031
18,32025,89,12,Columbia,Columbia-32025,Lake City,"Lake City, Watertown",203,Columbia-32025,Lake City,316,316,0.0267394114423496,1.17186134538851
19,32033,92,55,St. Johns,St. Johns-32033,Elkton,Elkton,1008,St. Johns-32033,Elkton,23,23,0.0187234956811153,0.628467929585538
20,32034,95,45,Nassau,Nassau-32034,Fernandina Beach,"Fernandina Beach, Jacksonville, Yulee",685,Nassau-32034,"Fernandina, Fernandina Beach",271,271,0.020139891490544,1.06224040986102
21,32038,97,12,Columbia,Columbia-32038,Fort White,Fort White,204,Columbia-32038,Fort White,39,39,0.0252173128599225,0.954634626442275
22,32040,101,2,Baker,Baker-32040,Glen Saint Mary,Glen St. Mary,23,Baker-32040,"Glen Saint Mary, Macclenny",36,36,0.0333791808234309,1.65619575129217
23,32043,106,10,Clay,Clay-32043,Green Cove Springs,"Green Cove Springs, Penney Farms, Asbury Lake, Fleming Island, Middleburg",172,Clay-32043,Green Cove Springs,246,246,0.050857178979868,1.13471481910254
24,32043,107,54,Putnam,Putnam-32043,Green Cove Springs,West Tocoi,940,Putnam-32043,,0,0,0.0015115207368126,0.514374829498623
25,32044,109,1,Alachua,Alachua-32044,Hampton,Louise,1,Alachua-32044,,0,0,0.00031139214547693,0.197708738500747
26,32044,110,4,Bradford,Bradford-32044,Hampton,Hampton,41,Bradford-32044,Hampton,6,6,0.00560723660305484,0.567488227791873
27,32046,112,45,Nassau,Nassau-32046,Hilliard,Hilliard,686,Nassau-32046,Hilliard,54,54,0.0495374099873516,1.68648492194021
28,32052,114,24,Hamilton,Hamilton-32052,Jasper,"Jasper, Marion, Hillcoast, Adams",387,Hamilton-32052,Jasper,335,335,0.0858775323315513,2.16867630977991
29,32053,118,24,Hamilton,Hamilton-32053,Jennings,Jennings,388,Hamilton-32053,Jennings,84,84,0.0268089503872488,0.926754388053281
30,32054,121,4,Bradford,Bradford-32054,Lake Butler,Worthington Springs,42,Bradford-32054,Lake Butler,<5,-2,0.00266361705689633,0.476128244953605
